round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1,tp,fp,tn,fn,group_0_tp,group_0_fp,group_0_tn,group_0_fn,group_0_positive_rate,group_0_true_positive_rate,group_1_tp,group_1_fp,group_1_tn,group_1_fn,group_1_positive_rate,group_1_true_positive_rate,statistical_parity_difference,equal_opportunity_difference
1,0,0.13725,0.06863,0.5,0.12069,0.13725,0.13725,0.13725,0.0,0.0,7.0,44.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,2.0,41.0,0.0,0.0,0.0,0.0
1,1,0.52887,0.511,0.51054,0.50932,0.52887,0.52887,0.52887,511.0,367.0,231.0,294.0,16.0,204.0,116.0,10.0,0.63584,0.61538,495.0,163.0,115.0,284.0,0.62252,0.63543,-0.01332,0.02005
1,2,0.61739,0.3087,0.5,0.38172,0.61739,0.61739,0.61739,0.0,0.0,284.0,176.0,0.0,0.0,151.0,11.0,0.0,0.0,0.0,0.0,133.0,165.0,0.0,0.0,0.0,0.0
1,3,0.51419,0.51657,0.51665,0.51405,0.51419,0.51419,0.51419,219.0,245.0,234.0,183.0,9.0,149.0,129.0,10.0,0.53199,0.47368,210.0,96.0,105.0,173.0,0.52397,0.5483,-0.00801,0.07462
1,4,0.47873,0.51334,0.51028,0.46085,0.47873,0.47873,0.47873,303.0,381.0,136.0,97.0,11.0,200.0,68.0,6.0,0.74035,0.64706,292.0,181.0,68.0,91.0,0.74842,0.7624,0.00807,0.11534
1,5,0.78531,0.51943,0.51272,0.51106,0.78531,0.78531,0.78531,51.0,216.0,2151.0,386.0,0.0,120.0,1184.0,15.0,0.09098,0.0,51.0,96.0,967.0,371.0,0.09899,0.12085,0.00801,0.12085
1,6,0.61525,0.47447,0.49535,0.41311,0.61525,0.61525,0.61525,339.0,200.0,8.0,17.0,15.0,100.0,4.0,0.0,0.96639,1.0,324.0,100.0,4.0,17.0,0.95281,0.95015,-0.01358,-0.04985
1,7,0.7135,0.35675,0.5,0.4164,0.7135,0.7135,0.7135,0.0,0.0,518.0,208.0,0.0,0.0,292.0,7.0,0.0,0.0,0.0,0.0,226.0,201.0,0.0,0.0,0.0,0.0
1,8,0.42837,0.21419,0.5,0.2999,0.42837,0.42837,0.42837,0.0,0.0,308.0,411.0,0.0,0.0,170.0,17.0,0.0,0.0,0.0,0.0,138.0,394.0,0.0,0.0,0.0,0.0
1,9,0.91192,0.45596,0.5,0.47696,0.91192,0.91192,0.91192,0.0,0.0,352.0,34.0,0.0,0.0,206.0,1.0,0.0,0.0,0.0,0.0,146.0,33.0,0.0,0.0,0.0,0.0
2,0,0.86275,0.68878,0.56006,0.57348,0.86275,0.86275,0.86275,43.0,6.0,1.0,1.0,3.0,5.0,0.0,0.0,1.0,1.0,40.0,1.0,1.0,1.0,0.95349,0.97561,-0.04651,-0.02439
2,1,0.53172,0.52396,0.5242,0.52388,0.53172,0.53172,0.53172,463.0,315.0,283.0,342.0,15.0,168.0,152.0,11.0,0.5289,0.57692,448.0,147.0,131.0,331.0,0.56291,0.5751,0.03401,-0.00183
2,2,0.61739,0.55947,0.50324,0.39724,0.61739,0.61739,0.61739,3.0,3.0,281.0,173.0,0.0,2.0,149.0,11.0,0.01235,0.0,3.0,1.0,132.0,162.0,0.01342,0.01818,0.00108,0.01818
2,3,0.51873,0.51559,0.51562,0.51558,0.51873,0.51873,0.51873,193.0,215.0,264.0,209.0,9.0,132.0,146.0,10.0,0.47475,0.47368,184.0,83.0,118.0,199.0,0.45719,0.48042,-0.01756,0.00673
2,4,0.51036,0.47898,0.4826,0.46897,0.51036,0.51036,0.51036,106.0,155.0,362.0,294.0,5.0,69.0,199.0,12.0,0.25965,0.29412,101.0,86.0,163.0,282.0,0.29589,0.26371,0.03624,-0.03041
2,5,0.78531,0.51943,0.51272,0.51106,0.78531,0.78531,0.78531,51.0,216.0,2151.0,386.0,0.0,119.0,1185.0,15.0,0.09022,0.0,51.0,97.0,966.0,371.0,0.09966,0.12085,0.00944,0.12085
2,6,0.55674,0.50656,0.50597,0.50394,0.55674,0.55674,0.55674,249.0,143.0,65.0,107.0,11.0,72.0,32.0,4.0,0.69748,0.73333,238.0,71.0,33.0,103.0,0.69438,0.69795,-0.0031,-0.03539
2,7,0.54821,0.51031,0.5122,0.50253,0.54821,0.54821,0.54821,89.0,209.0,309.0,119.0,4.0,108.0,184.0,3.0,0.37458,0.57143,85.0,101.0,125.0,116.0,0.4356,0.42289,0.06102,-0.14854
2,8,0.5605,0.54348,0.54071,0.53908,0.5605,0.5605,0.5605,279.0,184.0,124.0,132.0,16.0,101.0,69.0,1.0,0.62567,0.94118,263.0,83.0,55.0,131.0,0.65038,0.66751,0.02471,-0.27366
2,9,0.91192,0.45596,0.5,0.47696,0.91192,0.91192,0.91192,0.0,0.0,352.0,34.0,0.0,0.0,206.0,1.0,0.0,0.0,0.0,0.0,146.0,33.0,0.0,0.0,0.0,0.0
3,0,0.86275,0.68878,0.56006,0.57348,0.86275,0.86275,0.86275,43.0,6.0,1.0,1.0,3.0,5.0,0.0,0.0,1.0,1.0,40.0,1.0,1.0,1.0,0.95349,0.97561,-0.04651,-0.02439
3,1,0.53314,0.52148,0.52136,0.52137,0.53314,0.53314,0.53314,484.0,334.0,264.0,321.0,15.0,178.0,142.0,11.0,0.5578,0.57692,469.0,156.0,122.0,310.0,0.5913,0.60205,0.03349,0.02513
3,2,0.54565,0.50263,0.5024,0.5,0.54565,0.54565,0.54565,56.0,89.0,195.0,120.0,2.0,58.0,93.0,9.0,0.37037,0.18182,54.0,31.0,102.0,111.0,0.28523,0.32727,-0.08514,0.14545
3,3,0.51986,0.51854,0.51867,0.51819,0.51986,0.51986,0.51986,203.0,224.0,255.0,199.0,9.0,137.0,141.0,10.0,0.49158,0.47368,194.0,87.0,114.0,189.0,0.48116,0.50653,-0.01042,0.03284
3,4,0.50055,0.49629,0.49624,0.4958,0.50055,0.50055,0.50055,185.0,243.0,274.0,215.0,7.0,119.0,149.0,10.0,0.44211,0.41176,178.0,124.0,125.0,205.0,0.47785,0.46475,0.03574,0.05299
3,5,0.7097,0.50358,0.50433,0.50233,0.7097,0.7097,0.7097,90.0,467.0,1900.0,347.0,1.0,248.0,1056.0,14.0,0.18878,0.06667,89.0,219.0,844.0,333.0,0.20741,0.2109,0.01863,0.14423
3,6,0.54787,0.52045,0.52093,0.52039,0.54787,0.54787,0.54787,222.0,121.0,87.0,134.0,9.0,64.0,40.0,6.0,0.61345,0.6,213.0,57.0,47.0,128.0,0.60674,0.62463,-0.0067,0.02463
3,7,0.59917,0.51848,0.51915,0.51861,0.59917,0.59917,0.59917,69.0,152.0,366.0,139.0,2.0,80.0,212.0,5.0,0.27425,0.28571,67.0,72.0,154.0,134.0,0.32553,0.33333,0.05128,0.04762
3,8,0.53686,0.5325,0.53305,0.5319,0.53686,0.53686,0.53686,230.0,152.0,156.0,181.0,12.0,84.0,86.0,5.0,0.51337,0.70588,218.0,68.0,70.0,176.0,0.53759,0.5533,0.02422,-0.15258
3,9,0.90155,0.4555,0.49432,0.47411,0.90155,0.90155,0.90155,0.0,4.0,348.0,34.0,0.0,0.0,206.0,1.0,0.0,0.0,0.0,4.0,142.0,33.0,0.02235,0.0,0.02235,0.0
4,0,0.86275,0.68878,0.56006,0.57348,0.86275,0.86275,0.86275,43.0,6.0,1.0,1.0,3.0,5.0,0.0,0.0,1.0,1.0,40.0,1.0,1.0,1.0,0.95349,0.97561,-0.04651,-0.02439
4,1,0.53314,0.5209,0.52071,0.52071,0.53314,0.53314,0.53314,487.0,337.0,261.0,318.0,15.0,178.0,142.0,11.0,0.5578,0.57692,472.0,159.0,119.0,307.0,0.59697,0.60591,0.03917,0.02898
4,2,0.49565,0.4895,0.48892,0.48505,0.49565,0.49565,0.49565,81.0,137.0,147.0,95.0,4.0,79.0,72.0,7.0,0.51235,0.36364,77.0,58.0,75.0,88.0,0.45302,0.46667,-0.05933,0.10303
4,3,0.5244,0.52083,0.52084,0.52084,0.5244,0.5244,0.5244,193.0,210.0,269.0,209.0,9.0,128.0,150.0,10.0,0.46128,0.47368,184.0,82.0,119.0,199.0,0.45548,0.48042,-0.0058,0.00673
4,4,0.50164,0.49752,0.49749,0.497,0.50164,0.50164,0.50164,186.0,243.0,274.0,214.0,7.0,119.0,149.0,10.0,0.44211,0.41176,179.0,124.0,125.0,204.0,0.47943,0.46736,0.03733,0.0556
4,5,0.80956,0.52857,0.51216,0.50459,0.80956,0.80956,0.80956,35.0,132.0,2235.0,402.0,0.0,66.0,1238.0,15.0,0.05004,0.0,35.0,66.0,997.0,387.0,0.06801,0.08294,0.01798,0.08294
4,6,0.55142,0.5304,0.53174,0.52978,0.55142,0.55142,0.55142,216.0,113.0,95.0,140.0,9.0,61.0,43.0,6.0,0.58824,0.6,207.0,52.0,52.0,134.0,0.58202,0.60704,-0.00621,0.00704
4,7,0.66253,0.53636,0.52471,0.51858,0.66253,0.66253,0.66253,42.0,79.0,439.0,166.0,2.0,37.0,255.0,5.0,0.13043,0.28571,40.0,42.0,184.0,161.0,0.19204,0.199,0.0616,-0.08671
4,8,0.55355,0.53823,0.53667,0.53595,0.55355,0.55355,0.55355,269.0,179.0,129.0,142.0,15.0,99.0,71.0,2.0,0.60963,0.88235,254.0,80.0,58.0,140.0,0.62782,0.64467,0.01819,-0.23768
4,9,0.7513,0.5154,0.5315,0.506,0.7513,0.7513,0.7513,9.0,71.0,281.0,25.0,1.0,38.0,168.0,0.0,0.18841,1.0,8.0,33.0,113.0,25.0,0.22905,0.24242,0.04064,-0.75758
5,0,0.88235,0.78125,0.63149,0.66739,0.88235,0.88235,0.88235,43.0,5.0,2.0,1.0,3.0,4.0,1.0,0.0,0.875,1.0,40.0,1.0,1.0,1.0,0.95349,0.97561,0.07849,-0.02439
5,1,0.53742,0.51184,0.51046,0.50443,0.53742,0.53742,0.53742,558.0,402.0,196.0,247.0,17.0,221.0,99.0,9.0,0.68786,0.65385,541.0,181.0,97.0,238.0,0.68307,0.69448,-0.0048,0.04063
5,2,0.50652,0.49264,0.49232,0.49073,0.50652,0.50652,0.50652,76.0,127.0,157.0,100.0,4.0,78.0,73.0,7.0,0.50617,0.36364,72.0,49.0,84.0,93.0,0.40604,0.43636,-0.10013,0.07273
5,3,0.51646,0.51822,0.51833,0.51618,0.51646,0.51646,0.51646,217.0,241.0,238.0,185.0,9.0,146.0,132.0,10.0,0.52189,0.47368,208.0,95.0,106.0,175.0,0.51884,0.54308,-0.00305,0.0694
5,4,0.52345,0.49161,0.49335,0.47673,0.52345,0.52345,0.52345,103.0,140.0,377.0,297.0,5.0,61.0,207.0,12.0,0.23158,0.29412,98.0,79.0,170.0,285.0,0.28006,0.25587,0.04848,-0.03824
5,5,0.67725,0.51039,0.51496,0.5047,0.67725,0.67725,0.67725,122.0,590.0,1777.0,315.0,1.0,313.0,991.0,14.0,0.23806,0.06667,121.0,277.0,786.0,301.0,0.26801,0.28673,0.02995,0.22006
5,6,0.54965,0.50865,0.50835,0.50805,0.54965,0.54965,0.54965,237.0,135.0,73.0,119.0,10.0,66.0,38.0,5.0,0.63866,0.66667,227.0,69.0,35.0,114.0,0.66517,0.66569,0.02651,-0.00098
5,7,0.63361,0.53483,0.53177,0.53222,0.63361,0.63361,0.63361,61.0,119.0,399.0,147.0,2.0,64.0,228.0,5.0,0.22074,0.28571,59.0,55.0,171.0,142.0,0.26698,0.29353,0.04624,0.00782
5,8,0.54381,0.54195,0.5428,0.5405,0.54381,0.54381,0.54381,226.0,143.0,165.0,185.0,12.0,78.0,92.0,5.0,0.48128,0.70588,214.0,65.0,73.0,180.0,0.52444,0.54315,0.04315,-0.16274
5,9,0.90415,0.45561,0.49574,0.47483,0.90415,0.90415,0.90415,0.0,3.0,349.0,34.0,0.0,0.0,206.0,1.0,0.0,0.0,0.0,3.0,143.0,33.0,0.01676,0.0,0.01676,0.0
6,0,0.86275,0.69681,0.62013,0.64336,0.86275,0.86275,0.86275,42.0,5.0,2.0,2.0,3.0,4.0,1.0,0.0,0.875,1.0,39.0,1.0,1.0,2.0,0.93023,0.95122,0.05523,-0.04878
6,1,0.53671,0.51304,0.51178,0.50726,0.53671,0.53671,0.53671,548.0,393.0,205.0,257.0,17.0,214.0,106.0,9.0,0.66763,0.65385,531.0,179.0,99.0,248.0,0.67171,0.68164,0.00408,0.0278
6,2,0.53043,0.50516,0.5052,0.50514,0.53043,0.53043,0.53043,70.0,110.0,174.0,106.0,2.0,69.0,82.0,9.0,0.43827,0.18182,68.0,41.0,92.0,97.0,0.36577,0.41212,-0.0725,0.2303
6,3,0.52554,0.5267,0.52689,0.52509,0.52554,0.52554,0.52554,218.0,234.0,245.0,184.0,9.0,141.0,137.0,10.0,0.50505,0.47368,209.0,93.0,108.0,174.0,0.51712,0.54569,0.01207,0.07201
6,4,0.49291,0.4879,0.48777,0.48753,0.49291,0.49291,0.49291,179.0,244.0,273.0,221.0,7.0,118.0,150.0,10.0,0.4386,0.41176,172.0,126.0,123.0,211.0,0.47152,0.44909,0.03292,0.03732
6,5,0.82775,0.58135,0.52573,0.52015,0.82775,0.82775,0.82775,38.0,84.0,2283.0,399.0,0.0,31.0,1273.0,15.0,0.0235,0.0,38.0,53.0,1010.0,384.0,0.06128,0.09005,0.03778,0.09005
6,6,0.55496,0.51312,0.51256,0.5122,0.55496,0.55496,0.55496,240.0,135.0,73.0,116.0,10.0,66.0,38.0,5.0,0.63866,0.66667,230.0,69.0,35.0,111.0,0.67191,0.67449,0.03325,0.00782
6,7,0.59917,0.52232,0.52346,0.52245,0.59917,0.59917,0.59917,72.0,155.0,363.0,136.0,2.0,81.0,211.0,5.0,0.27759,0.28571,70.0,74.0,152.0,131.0,0.33724,0.34826,0.05964,0.06254
6,8,0.55355,0.5447,0.5448,0.54474,0.55355,0.55355,0.55355,249.0,159.0,149.0,162.0,13.0,86.0,84.0,4.0,0.52941,0.76471,236.0,73.0,65.0,158.0,0.58083,0.59898,0.05142,-0.16572
6,9,0.90415,0.45561,0.49574,0.47483,0.90415,0.90415,0.90415,0.0,3.0,349.0,34.0,0.0,0.0,206.0,1.0,0.0,0.0,0.0,3.0,143.0,33.0,0.01676,0.0,0.01676,0.0
7,0,0.88235,0.78125,0.63149,0.66739,0.88235,0.88235,0.88235,43.0,5.0,2.0,1.0,3.0,4.0,1.0,0.0,0.875,1.0,40.0,1.0,1.0,1.0,0.95349,0.97561,0.07849,-0.02439
7,1,0.53528,0.53285,0.53354,0.53144,0.53528,0.53528,0.53528,439.0,286.0,312.0,366.0,14.0,151.0,169.0,12.0,0.47688,0.53846,425.0,135.0,143.0,354.0,0.5298,0.54557,0.05292,0.00711
7,2,0.55,0.50988,0.50916,0.50759,0.55,0.55,0.55,59.0,90.0,194.0,117.0,2.0,59.0,92.0,9.0,0.37654,0.18182,57.0,31.0,102.0,108.0,0.2953,0.34545,-0.08124,0.16364
