round,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0.63264,0.48303,0.49998,0.38773,0.63264,0.63264,0.63264
2,0.54017,0.51847,0.51931,0.51757,0.54017,0.54017,0.54017
3,0.53622,0.52119,0.5225,0.51878,0.53622,0.53622,0.53622
4,0.54089,0.52232,0.52352,0.52087,0.54089,0.54089,0.54089
5,0.53326,0.52461,0.52636,0.52008,0.53326,0.53326,0.53326
6,0.54242,0.52598,0.5275,0.52409,0.54242,0.54242,0.54242
7,0.54727,0.52789,0.52933,0.52677,0.54727,0.54727,0.54727
8,0.55687,0.53337,0.53466,0.53311,0.55687,0.55687,0.55687
9,0.54574,0.53281,0.53494,0.53006,0.54574,0.54574,0.54574
10,0.56028,0.53907,0.54084,0.5386,0.56028,0.56028,0.56028
11,0.55508,0.54422,0.54724,0.54106,0.55508,0.55508,0.55508
12,0.54394,0.54279,0.54603,0.53521,0.54394,0.54394,0.54394
13,0.57321,0.55751,0.5609,0.55629,0.57321,0.57321,0.57321
14,0.58282,0.56456,0.56793,0.56417,0.58282,0.58282,0.58282
15,0.62259,0.58889,0.58556,0.58664,0.62259,0.62259,0.62259
16,0.62214,0.59351,0.59352,0.59351,0.62214,0.62214,0.62214
17,0.64826,0.61322,0.60216,0.60424,0.64826,0.64826,0.64826
18,0.66065,0.62658,0.58719,0.58251,0.66065,0.66065,0.66065
19,0.64683,0.61554,0.61067,0.61233,0.64683,0.64683,0.64683
20,0.64108,0.61154,0.60946,0.61033,0.64108,0.64108,0.64108
