round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,1,0.00235,0.36078,0.00664,0.01098,0.00235,0.00235,0.00235
1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,3,0.97526,0.33333,0.32509,0.32916,0.97526,0.97526,0.97526
1,4,0.00917,0.33333,0.00312,0.00617,0.00917,0.00917,0.00917
1,5,0.60245,0.3302,0.3321,0.26021,0.60245,0.60245,0.60245
2,1,0.00705,0.36735,0.0108,0.0179,0.00705,0.00705,0.00705
2,2,0.97222,0.5,0.48611,0.49296,0.97222,0.97222,0.97222
2,3,0.96527,0.33333,0.32176,0.32744,0.96527,0.96527,0.96527
2,4,0.00917,0.33333,0.00312,0.00617,0.00917,0.00917,0.00917
2,5,0.60136,0.36673,0.33224,0.26375,0.60136,0.60136,0.60136
3,1,0.00672,0.35915,0.01151,0.01763,0.00672,0.00672,0.00672
3,2,0.97222,0.5,0.48611,0.49296,0.97222,0.97222,0.97222
3,3,0.9582,0.33333,0.3194,0.32622,0.9582,0.9582,0.9582
3,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,5,0.59918,0.34733,0.33245,0.26962,0.59918,0.59918,0.59918
4,1,0.00453,0.33531,0.01322,0.01834,0.00453,0.00453,0.00453
4,2,0.97222,0.5,0.48611,0.49296,0.97222,0.97222,0.97222
4,3,0.95805,0.33333,0.31935,0.32619,0.95805,0.95805,0.95805
4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,5,0.60354,0.36386,0.33607,0.27626,0.60354,0.60354,0.60354
5,1,0.00638,0.32985,0.02549,0.02701,0.00638,0.00638,0.00638
5,2,0.94444,0.5,0.47222,0.48571,0.94444,0.94444,0.94444
5,3,0.93392,0.33333,0.31131,0.32194,0.93392,0.93392,0.93392
5,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5,0.60082,0.35745,0.33878,0.2922,0.60082,0.60082,0.60082
6,1,0.00521,0.32329,0.02175,0.02631,0.00521,0.00521,0.00521
6,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,3,0.95682,0.33333,0.31894,0.32598,0.95682,0.95682,0.95682
6,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,5,0.60789,0.37613,0.34035,0.28567,0.60789,0.60789,0.60789
7,1,0.00453,0.29931,0.01737,0.02322,0.00453,0.00453,0.00453
7,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,3,0.97019,0.33333,0.3234,0.32829,0.97019,0.97019,0.97019
7,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,5,0.61116,0.39128,0.34115,0.2826,0.61116,0.61116,0.61116
8,1,0.0042,0.28989,0.01559,0.01926,0.0042,0.0042,0.0042
8,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,3,0.96496,0.33333,0.32165,0.32739,0.96496,0.96496,0.96496
8,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,5,0.61306,0.39545,0.34409,0.29126,0.61306,0.61306,0.61306
9,1,0.01108,0.30196,0.05038,0.03374,0.01108,0.01108,0.01108
9,2,0.88889,0.5,0.44444,0.47059,0.88889,0.88889,0.88889
9,3,0.90041,0.33333,0.30014,0.31587,0.90041,0.90041,0.90041
9,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,5,0.60327,0.36958,0.34918,0.32303,0.60327,0.60327,0.60327
10,1,0.00353,0.32197,0.01286,0.01848,0.00353,0.00353,0.00353
10,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,3,0.98125,0.33333,0.32708,0.33018,0.98125,0.98125,0.98125
10,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,5,0.61469,0.42196,0.34243,0.28103,0.61469,0.61469,0.61469
11,1,0.00823,0.28221,0.03775,0.02926,0.00823,0.00823,0.00823
11,2,0.91667,0.5,0.45833,0.47826,0.91667,0.91667,0.91667
11,3,0.92623,0.33333,0.30874,0.32057,0.92623,0.92623,0.92623
11,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,5,0.6098,0.37983,0.35037,0.31877,0.6098,0.6098,0.6098
12,1,0.00739,0.29729,0.03165,0.02852,0.00739,0.00739,0.00739
12,2,0.91667,0.5,0.45833,0.47826,0.91667,0.91667,0.91667
12,3,0.94514,0.33333,0.31505,0.32393,0.94514,0.94514,0.94514
12,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,5,0.61007,0.38345,0.34722,0.30827,0.61007,0.61007,0.61007
13,1,0.00403,0.27299,0.01636,0.01958,0.00403,0.00403,0.00403
13,2,0.94444,0.5,0.47222,0.48571,0.94444,0.94444,0.94444
13,3,0.9751,0.33333,0.32503,0.32913,0.9751,0.9751,0.9751
13,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,5,0.61633,0.41316,0.34538,0.29048,0.61633,0.61633,0.61633
14,1,0.01629,0.27568,0.08125,0.0397,0.01629,0.01629,0.01629
14,2,0.80556,0.5,0.40278,0.44615,0.80556,0.80556,0.80556
14,3,0.86107,0.33333,0.28702,0.30845,0.86107,0.86107,0.86107
14,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,5,0.60272,0.37284,0.35711,0.34357,0.60272,0.60272,0.60272
15,1,0.02301,0.28266,0.11597,0.03975,0.02301,0.02301,0.02301
15,2,0.77778,0.5,0.38889,0.4375,0.77778,0.77778,0.77778
15,3,0.75826,0.33333,0.25275,0.2875,0.75826,0.75826,0.75826
15,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,5,0.57823,0.36075,0.35571,0.35352,0.57823,0.57823,0.57823
16,1,0.00285,0.2901,0.00848,0.01288,0.00285,0.00285,0.00285
16,2,0.97222,0.5,0.48611,0.49296,0.97222,0.97222,0.97222
16,3,0.99078,0.33333,0.33026,0.33179,0.99078,0.99078,0.99078
16,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,5,0.61388,0.4534,0.34009,0.2723,0.61388,0.61388,0.61388
17,1,0.03896,0.29952,0.19793,0.04036,0.03896,0.03896,0.03896
17,2,0.36111,0.5,0.18056,0.26531,0.36111,0.36111,0.36111
17,3,0.48932,0.33333,0.16311,0.21903,0.48932,0.48932,0.48932
17,4,0.00917,0.00575,0.16667,0.01111,0.00917,0.00917,0.00917
17,5,0.53524,0.3648,0.36492,0.3562,0.53524,0.53524,0.53524
18,1,0.00151,0.27128,0.00303,0.00546,0.00151,0.00151,0.00151
18,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18,3,0.99647,0.33333,0.33216,0.33274,0.99647,0.99647,0.99647
18,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,5,0.61143,0.50697,0.33677,0.26183,0.61143,0.61143,0.61143
19,1,0.04702,0.29889,0.24474,0.03946,0.04702,0.04702,0.04702
19,2,0.30556,0.5,0.15278,0.23404,0.30556,0.30556,0.30556
19,3,0.33764,0.33333,0.11255,0.16828,0.33764,0.33764,0.33764
19,4,0.01835,0.00844,0.33333,0.01646,0.01835,0.01835,0.01835
19,5,0.48925,0.35908,0.35544,0.32389,0.48925,0.48925,0.48925
20,1,0.00319,0.28112,0.01108,0.01517,0.00319,0.00319,0.00319
20,2,0.97222,0.5,0.48611,0.49296,0.97222,0.97222,0.97222
20,3,0.98724,0.33333,0.32908,0.33119,0.98724,0.98724,0.98724
20,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,5,0.61878,0.45182,0.34516,0.28479,0.61878,0.61878,0.61878
21,1,0.02771,0.26147,0.14252,0.04074,0.02771,0.02771,0.02771
21,2,0.72222,0.5,0.36111,0.41935,0.72222,0.72222,0.72222
21,3,0.69187,0.33333,0.23062,0.27263,0.69187,0.69187,0.69187
21,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,5,0.5766,0.36752,0.36535,0.36594,0.5766,0.5766,0.5766
22,1,0.00907,0.26685,0.04385,0.03524,0.00907,0.00907,0.00907
22,2,0.86111,0.5,0.43056,0.46269,0.86111,0.86111,0.86111
22,3,0.94606,0.33333,0.31535,0.32409,0.94606,0.94606,0.94606
22,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,5,0.62041,0.40307,0.3547,0.31847,0.62041,0.62041,0.62041
23,1,0.03426,0.25999,0.17719,0.03956,0.03426,0.03426,0.03426
23,2,0.44444,0.5,0.22222,0.30769,0.44444,0.44444,0.44444
23,3,0.56216,0.33333,0.18739,0.23991,0.56216,0.56216,0.56216
23,4,0.00917,0.00629,0.16667,0.01212,0.00917,0.00917,0.00917
23,5,0.55238,0.36631,0.3669,0.36375,0.55238,0.55238,0.55238
24,1,0.00218,0.2596,0.00741,0.01128,0.00218,0.00218,0.00218
24,2,0.97222,0.5,0.48611,0.49296,0.97222,0.97222,0.97222
24,3,0.99431,0.33333,0.33144,0.33238,0.99431,0.99431,0.99431
24,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,5,0.6166,0.47287,0.34199,0.27493,0.6166,0.6166,0.6166
25,1,0.05474,0.28781,0.28646,0.03985,0.05474,0.05474,0.05474
25,2,0.19444,0.5,0.09722,0.16279,0.19444,0.19444,0.19444
25,3,0.2067,0.33333,0.0689,0.1142,0.2067,0.2067,0.2067
25,4,0.01835,0.00702,0.33333,0.01375,0.01835,0.01835,0.01835
25,5,0.45741,0.36298,0.35157,0.28858,0.45741,0.45741,0.45741
26,1,0.00218,0.27917,0.00658,0.01097,0.00218,0.00218,0.00218
26,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
26,3,0.99616,0.33333,0.33205,0.33269,0.99616,0.99616,0.99616
26,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,5,0.61252,0.46744,0.33819,0.26625,0.61252,0.61252,0.61252
27,1,0.05055,0.29872,0.26341,0.0394,0.05055,0.05055,0.05055
27,2,0.25,0.5,0.125,0.2,0.25,0.25,0.25
27,3,0.27386,0.33333,0.09129,0.14332,0.27386,0.27386,0.27386
27,4,0.01835,0.00766,0.33333,0.01498,0.01835,0.01835,0.01835
27,5,0.47755,0.36276,0.35561,0.31149,0.47755,0.47755,0.47755
28,1,0.00084,0.21754,0.00196,0.00359,0.00084,0.00084,0.00084
28,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
28,3,0.99785,0.33333,0.33262,0.33297,0.99785,0.99785,0.99785
28,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,5,0.61224,0.52063,0.33713,0.26158,0.61224,0.61224,0.61224
29,1,0.05844,0.2587,0.30519,0.03919,0.05844,0.05844,0.05844
29,2,0.05556,0.5,0.02778,0.05263,0.05556,0.05556,0.05556
29,3,0.10373,0.33333,0.03458,0.06266,0.10373,0.10373,0.10373
29,4,0.01835,0.00654,0.33333,0.01282,0.01835,0.01835,0.01835
29,5,0.42422,0.36036,0.34219,0.2449,0.42422,0.42422,0.42422
30,1,0.00185,0.28982,0.00232,0.00429,0.00185,0.00185,0.00185
30,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
30,3,0.99739,0.33333,0.33246,0.3329,0.99739,0.99739,0.99739
30,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,5,0.61224,0.52287,0.33738,0.26285,0.61224,0.61224,0.61224
31,1,0.05592,0.27098,0.29351,0.03952,0.05592,0.05592,0.05592
31,2,0.11111,0.5,0.05556,0.1,0.11111,0.11111,0.11111
31,3,0.17074,0.33333,0.05691,0.09723,0.17074,0.17074,0.17074
31,4,0.01835,0.00667,0.33333,0.01307,0.01835,0.01835,0.01835
31,5,0.4498,0.36396,0.3502,0.27851,0.4498,0.4498,0.4498
32,1,0.00202,0.24603,0.00735,0.01143,0.00202,0.00202,0.00202
32,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
32,3,0.9957,0.33333,0.3319,0.33261,0.9957,0.9957,0.9957
32,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,5,0.6185,0.48061,0.34328,0.27669,0.6185,0.6185,0.6185
33,1,0.05239,0.28772,0.27402,0.03958,0.05239,0.05239,0.05239
33,2,0.25,0.5,0.125,0.2,0.25,0.25,0.25
33,3,0.24789,0.33333,0.08263,0.13243,0.24789,0.24789,0.24789
33,4,0.01835,0.00717,0.33333,0.01404,0.01835,0.01835,0.01835
33,5,0.47347,0.36815,0.35774,0.30466,0.47347,0.47347,0.47347
34,1,0.00218,0.26559,0.00741,0.0119,0.00218,0.00218,0.00218
34,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
34,3,0.99693,0.33333,0.33231,0.33282,0.99693,0.99693,0.99693
34,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,5,0.61524,0.47561,0.34042,0.27061,0.61524,0.61524,0.61524
35,1,0.05374,0.27136,0.28196,0.04006,0.05374,0.05374,0.05374
35,2,0.22222,0.5,0.11111,0.18182,0.22222,0.22222,0.22222
35,3,0.23651,0.33333,0.07884,0.12752,0.23651,0.23651,0.23651
35,4,0.01835,0.00717,0.33333,0.01404,0.01835,0.01835,0.01835
35,5,0.47184,0.36818,0.3575,0.30265,0.47184,0.47184,0.47184
36,1,0.00202,0.26523,0.00652,0.01072,0.00202,0.00202,0.00202
36,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
36,3,0.99754,0.33333,0.33251,0.33292,0.99754,0.99754,0.99754
36,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,5,0.61497,0.48921,0.33994,0.26893,0.61497,0.61497,0.61497
37,1,0.05877,0.28738,0.30779,0.0393,0.05877,0.05877,0.05877
37,2,0.05556,0.5,0.02778,0.05263,0.05556,0.05556,0.05556
37,3,0.09959,0.33333,0.0332,0.06038,0.09959,0.09959,0.09959
37,4,0.01835,0.00654,0.33333,0.01282,0.01835,0.01835,0.01835
37,5,0.42259,0.36026,0.34203,0.24176,0.42259,0.42259,0.42259
38,1,0.00185,0.28889,0.00314,0.00572,0.00185,0.00185,0.00185
38,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
38,3,0.998,0.33333,0.33267,0.333,0.998,0.998,0.998
38,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,5,0.61415,0.52535,0.33876,0.26502,0.61415,0.61415,0.61415
39,1,0.05978,0.27069,0.31396,0.03918,0.05978,0.05978,0.05978
39,2,0.05556,0.5,0.02778,0.05263,0.05556,0.05556,0.05556
39,3,0.07208,0.33333,0.02403,0.04482,0.07208,0.07208,0.07208
39,4,0.01835,0.00635,0.33333,0.01246,0.01835,0.01835,0.01835
39,5,0.41279,0.35531,0.33864,0.22748,0.41279,0.41279,0.41279
40,1,0.00151,0.26923,0.00303,0.0054,0.00151,0.00151,0.00151
40,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
40,3,0.99816,0.33333,0.33272,0.33303,0.99816,0.99816,0.99816
40,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,5,0.61415,0.49735,0.339,0.26625,0.61415,0.61415,0.61415
41,1,0.05894,0.27077,0.30951,0.03929,0.05894,0.05894,0.05894
41,2,0.05556,0.5,0.02778,0.05263,0.05556,0.05556,0.05556
41,3,0.09682,0.33333,0.03227,0.05885,0.09682,0.09682,0.09682
41,4,0.01835,0.0066,0.33333,0.01294,0.01835,0.01835,0.01835
41,5,0.42313,0.36435,0.34283,0.2414,0.42313,0.42313,0.42313
42,1,0.00235,0.31653,0.00332,0.00626,0.00235,0.00235,0.00235
42,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
42,3,0.99831,0.33333,0.33277,0.33305,0.99831,0.99831,0.99831
42,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,5,0.61224,0.52069,0.33713,0.26162,0.61224,0.61224,0.61224
43,1,0.05844,0.28741,0.30602,0.03933,0.05844,0.05844,0.05844
43,2,0.05556,0.5,0.02778,0.05263,0.05556,0.05556,0.05556
43,3,0.10635,0.33333,0.03545,0.06408,0.10635,0.10635,0.10635
43,4,0.01835,0.0066,0.33333,0.01294,0.01835,0.01835,0.01835
43,5,0.42667,0.36206,0.34353,0.24721,0.42667,0.42667,0.42667
44,1,0.00302,0.32745,0.00356,0.00672,0.00302,0.00302,0.00302
44,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
44,3,0.99816,0.33333,0.33272,0.33303,0.99816,0.99816,0.99816
44,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,5,0.61306,0.52309,0.33783,0.26315,0.61306,0.61306,0.61306
45,1,0.05928,0.29847,0.30963,0.03939,0.05928,0.05928,0.05928
45,2,0.05556,0.5,0.02778,0.05263,0.05556,0.05556,0.05556
45,3,0.09098,0.33333,0.03033,0.05559,0.09098,0.09098,0.09098
45,4,0.01835,0.00654,0.33333,0.01282,0.01835,0.01835,0.01835
45,5,0.41959,0.36237,0.34146,0.23655,0.41959,0.41959,0.41959
46,1,0.00252,0.31349,0.00338,0.0063,0.00252,0.00252,0.00252
46,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
46,3,0.99831,0.33333,0.33277,0.33305,0.99831,0.99831,0.99831
46,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,5,0.61388,0.5139,0.33861,0.26499,0.61388,0.61388,0.61388
