round,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0.52854,0.32553,0.33391,0.24932,0.52854,0.52854,0.52854
2,0.52594,0.31724,0.33413,0.25193,0.52594,0.52594,0.52594
3,0.52034,0.32235,0.33604,0.25715,0.52034,0.52034,0.52034
4,0.52565,0.32426,0.33604,0.25344,0.52565,0.52565,0.52565
5,0.51523,0.29382,0.34072,0.26497,0.51523,0.51523,0.51523
6,0.531,0.30388,0.33804,0.25287,0.531,0.531,0.531
7,0.53257,0.30817,0.33737,0.25025,0.53257,0.53257,0.53257
8,0.48801,0.30717,0.34866,0.27617,0.48801,0.48801,0.48801
9,0.53346,0.31766,0.3379,0.25049,0.53346,0.53346,0.53346
10,0.39869,0.2954,0.35402,0.26486,0.39869,0.39869,0.39869
11,0.52658,0.28652,0.34084,0.26031,0.52658,0.52658,0.52658
12,0.44311,0.30626,0.36182,0.27889,0.44311,0.44311,0.44311
13,0.32647,0.30037,0.36521,0.24433,0.32647,0.32647,0.32647
14,0.39987,0.28981,0.36022,0.26788,0.39987,0.39987,0.39987
15,0.41554,0.29128,0.35886,0.27148,0.41554,0.41554,0.41554
16,0.53582,0.3194,0.33927,0.25146,0.53582,0.53582,0.53582
17,0.19942,0.31244,0.35052,0.1657,0.19942,0.19942,0.19942
18,0.53783,0.33168,0.3371,0.24509,0.53783,0.53783,0.53783
19,0.53891,0.33512,0.33916,0.2482,0.53891,0.53891,0.53891
20,0.45878,0.30478,0.36033,0.28093,0.45878,0.45878,0.45878
21,0.53778,0.3131,0.34014,0.2511,0.53778,0.53778,0.53778
22,0.41098,0.31342,0.35507,0.26898,0.41098,0.41098,0.41098
23,0.3983,0.31046,0.36164,0.26848,0.3983,0.3983,0.3983
24,0.52953,0.31521,0.34857,0.27053,0.52953,0.52953,0.52953
25,0.11772,0.35047,0.33454,0.07595,0.11772,0.11772,0.11772
26,0.53886,0.36657,0.33368,0.23518,0.53886,0.53886,0.53886
27,0.34303,0.30561,0.3517,0.24691,0.34303,0.34303,0.34303
28,0.50924,0.29481,0.3473,0.27422,0.50924,0.50924,0.50924
29,0.15638,0.33104,0.3446,0.12367,0.15638,0.15638,0.15638
30,0.5393,0.38268,0.33646,0.2425,0.5393,0.5393,0.5393
31,0.16552,0.30721,0.34603,0.13343,0.16552,0.16552,0.16552
32,0.53906,0.36429,0.33681,0.243,0.53906,0.53906,0.53906
33,0.14184,0.32804,0.34234,0.10668,0.14184,0.14184,0.14184
34,0.53896,0.35016,0.33512,0.23867,0.53896,0.53896,0.53896
35,0.12985,0.31238,0.33845,0.09208,0.12985,0.12985,0.12985
36,0.53935,0.35996,0.33666,0.242,0.53935,0.53935,0.53935
37,0.52633,0.344,0.34943,0.27605,0.52633,0.52633,0.52633
38,0.12646,0.3155,0.33702,0.0877,0.12646,0.12646,0.12646
39,0.52943,0.35745,0.3489,0.27167,0.52943,0.52943,0.52943
40,0.2455,0.32991,0.36029,0.20046,0.2455,0.2455,0.2455
41,0.5398,0.39246,0.33831,0.24528,0.5398,0.5398,0.5398
42,0.26899,0.29824,0.35139,0.21352,0.26899,0.26899,0.26899
43,0.5285,0.33429,0.3577,0.28292,0.5285,0.5285,0.5285
44,0.52393,0.33279,0.36684,0.29226,0.52393,0.52393,0.52393
45,0.39859,0.34179,0.37555,0.27303,0.39859,0.39859,0.39859
46,0.30731,0.33014,0.35855,0.23387,0.30731,0.30731,0.30731
47,0.53144,0.36585,0.35936,0.28417,0.53144,0.53144,0.53144
48,0.17648,0.32902,0.34524,0.1447,0.17648,0.17648,0.17648
49,0.54063,0.44778,0.33771,0.24444,0.54063,0.54063,0.54063
50,0.48074,0.32429,0.36573,0.28737,0.48074,0.48074,0.48074
