round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.51248,0.30763,0.33309,0.25734,0.51248,0.51248,0.51248
1,1,0.34686,0.16665,0.33752,0.18855,0.34686,0.34686,0.34686
1,2,0.52963,0.31457,0.33179,0.24144,0.52963,0.52963,0.52963
1,3,0.53881,0.37666,0.33328,0.23383,0.53881,0.53881,0.53881
1,4,0.34892,0.37499,0.33387,0.17534,0.34892,0.34892,0.34892
1,5,0.40778,0.26809,0.36511,0.27104,0.40778,0.40778,0.40778
1,6,0.52196,0.31057,0.33282,0.25011,0.52196,0.52196,0.52196
1,7,0.51764,0.30332,0.33264,0.25281,0.51764,0.51764,0.51764
1,8,0.52525,0.31549,0.33209,0.24677,0.52525,0.52525,0.52525
1,9,0.52766,0.31585,0.33252,0.24508,0.52766,0.52766,0.52766
2,0,0.3729,0.32575,0.34031,0.27903,0.3729,0.3729,0.3729
2,1,0.34745,0.16382,0.33489,0.18112,0.34745,0.34745,0.34745
2,2,0.53105,0.3266,0.33303,0.24577,0.53105,0.53105,0.53105
2,3,0.53891,0.24636,0.33323,0.23356,0.53891,0.53891,0.53891
2,4,0.34927,0.1831,0.33343,0.17287,0.34927,0.34927,0.34927
2,5,0.46659,0.25756,0.35948,0.28141,0.46659,0.46659,0.46659
2,6,0.47878,0.32329,0.33664,0.2809,0.47878,0.47878,0.47878
2,7,0.38951,0.32786,0.34324,0.27971,0.38951,0.38951,0.38951
2,8,0.51169,0.33782,0.3348,0.28018,0.51169,0.51169,0.51169
2,9,0.52476,0.32745,0.33352,0.25549,0.52476,0.52476,0.52476
3,0,0.2571,0.33645,0.3458,0.24361,0.2571,0.2571,0.2571
3,1,0.3474,0.16881,0.33525,0.18207,0.3474,0.3474,0.3474
3,2,0.53213,0.32112,0.33224,0.24289,0.53213,0.53213,0.53213
3,3,0.53896,0.24635,0.33326,0.23356,0.53896,0.53896,0.53896
3,4,0.34927,0.11643,0.33333,0.17258,0.34927,0.34927,0.34927
3,5,0.42999,0.27985,0.36571,0.27721,0.42999,0.42999,0.42999
3,6,0.3643,0.33285,0.34224,0.29204,0.3643,0.3643,0.3643
3,7,0.22777,0.33716,0.34778,0.21457,0.22777,0.22777,0.22777
3,8,0.4489,0.34001,0.34318,0.33142,0.4489,0.4489,0.4489
3,9,0.52147,0.32398,0.33376,0.25997,0.52147,0.52147,0.52147
4,0,0.31925,0.3402,0.3456,0.29948,0.31925,0.31925,0.31925
4,1,0.34725,0.16224,0.33371,0.17835,0.34725,0.34725,0.34725
4,2,0.53385,0.31246,0.33214,0.23936,0.53385,0.53385,0.53385
4,3,0.53901,0.17969,0.33327,0.23349,0.53901,0.53901,0.53901
4,4,0.34927,0.11642,0.33333,0.17257,0.34927,0.34927,0.34927
4,5,0.51562,0.23484,0.34883,0.27391,0.51562,0.51562,0.51562
4,6,0.23253,0.33643,0.3453,0.22449,0.23253,0.23253,0.23253
4,7,0.26447,0.33937,0.34585,0.25817,0.26447,0.26447,0.26447
4,8,0.26226,0.34975,0.34901,0.26208,0.26226,0.26226,0.26226
4,9,0.51258,0.3213,0.3372,0.2665,0.51258,0.51258,0.51258
5,0,0.35959,0.35018,0.34848,0.30523,0.35959,0.35959,0.35959
5,1,0.34598,0.16294,0.33389,0.18142,0.34598,0.34598,0.34598
5,2,0.53508,0.31198,0.33247,0.23816,0.53508,0.53508,0.53508
5,3,0.53901,0.1797,0.33327,0.2335,0.53901,0.53901,0.53901
5,4,0.34927,0.11642,0.33333,0.17257,0.34927,0.34927,0.34927
5,5,0.49916,0.23618,0.35773,0.28347,0.49916,0.49916,0.49916
5,6,0.22782,0.35196,0.33797,0.22408,0.22782,0.22782,0.22782
5,7,0.32367,0.35736,0.35121,0.27678,0.32367,0.32367,0.32367
5,8,0.25685,0.36107,0.33746,0.22065,0.25685,0.25685,0.25685
5,9,0.51135,0.32135,0.33848,0.26911,0.51135,0.51135,0.51135
6,0,0.36135,0.3574,0.34307,0.26027,0.36135,0.36135,0.36135
6,1,0.34563,0.16103,0.33286,0.17945,0.34563,0.34563,0.34563
6,2,0.53685,0.31147,0.3332,0.2371,0.53685,0.53685,0.53685
6,3,0.53901,0.1797,0.33327,0.2335,0.53901,0.53901,0.53901
6,4,0.34927,0.11642,0.33333,0.17257,0.34927,0.34927,0.34927
6,5,0.45313,0.23302,0.36347,0.28099,0.45313,0.45313,0.45313
6,6,0.28147,0.36069,0.33489,0.21435,0.28147,0.28147,0.28147
6,7,0.33586,0.36219,0.34116,0.24473,0.33586,0.33586,0.33586
6,8,0.33718,0.36443,0.33781,0.20496,0.33718,0.33718,0.33718
6,9,0.52329,0.31449,0.33774,0.26042,0.52329,0.52329,0.52329
7,0,0.33797,0.37176,0.33779,0.20986,0.33797,0.33797,0.33797
7,1,0.34716,0.17037,0.33391,0.17903,0.34716,0.34716,0.34716
7,2,0.53675,0.31312,0.33395,0.2387,0.53675,0.53675,0.53675
7,3,0.53901,0.1797,0.33327,0.2335,0.53901,0.53901,0.53901
7,4,0.34927,0.11642,0.33333,0.17257,0.34927,0.34927,0.34927
7,5,0.50766,0.23793,0.35717,0.28307,0.50766,0.50766,0.50766
7,6,0.32048,0.35188,0.33915,0.26136,0.32048,0.32048,0.32048
7,7,0.31409,0.36197,0.34698,0.26212,0.31409,0.31409,0.31409
7,8,0.30706,0.35247,0.34096,0.21788,0.30706,0.30706,0.30706
7,9,0.51862,0.30941,0.34029,0.26664,0.51862,0.51862,0.51862
8,0,0.34755,0.35881,0.33867,0.22916,0.34755,0.34755,0.34755
8,1,0.34912,0.16404,0.33339,0.17312,0.34912,0.34912,0.34912
8,2,0.53763,0.302,0.33342,0.23626,0.53763,0.53763,0.53763
8,3,0.53901,0.17971,0.33327,0.23351,0.53901,0.53901,0.53901
8,4,0.34927,0.11642,0.33333,0.17257,0.34927,0.34927,0.34927
8,5,0.52299,0.37719,0.35493,0.27998,0.52299,0.52299,0.52299
8,6,0.33011,0.39779,0.33786,0.20698,0.33011,0.33011,0.33011
8,7,0.33875,0.36068,0.34706,0.27686,0.33875,0.33875,0.33875
8,8,0.33807,0.41829,0.33501,0.19602,0.33807,0.33807,0.33807
8,9,0.52766,0.33414,0.33748,0.26175,0.52766,0.52766,0.52766
9,0,0.38047,0.3585,0.34075,0.26219,0.38047,0.38047,0.38047
9,1,0.34652,0.16699,0.3336,0.17955,0.34652,0.34652,0.34652
9,2,0.53837,0.30237,0.33326,0.23479,0.53837,0.53837,0.53837
9,3,0.53901,0.1797,0.33327,0.2335,0.53901,0.53901,0.53901
9,4,0.34927,0.11642,0.33333,0.17257,0.34927,0.34927,0.34927
9,5,0.51538,0.24349,0.36112,0.2868,0.51538,0.51538,0.51538
9,6,0.3476,0.36415,0.34062,0.22935,0.3476,0.3476,0.3476
