round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,1,0.92242,0.51552,0.50464,0.50053,0.92242,0.92242,0.92242
1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,3,0.99923,0.5,0.49962,0.49981,0.99923,0.99923,0.99923
1,4,0.98165,0.49083,0.5,0.49537,0.98165,0.98165,0.98165
1,5,0.57007,0.54589,0.54513,0.54534,0.57007,0.57007,0.57007
2,1,0.93048,0.52757,0.50397,0.49606,0.93048,0.93048,0.93048
2,2,0.97222,0.5,0.48611,0.49296,0.97222,0.97222,0.97222
2,3,0.99969,0.33333,0.33323,0.33328,0.99969,0.99969,0.99969
2,4,0.98165,0.49083,0.5,0.49537,0.98165,0.98165,0.98165
2,5,0.59483,0.3667,0.35715,0.34841,0.59483,0.59483,0.59483
3,1,0.92846,0.52261,0.50414,0.49734,0.92846,0.92846,0.92846
3,2,0.97222,0.5,0.48611,0.49296,0.97222,0.97222,0.97222
3,3,0.99969,0.5,0.49985,0.49992,0.99969,0.99969,0.99969
3,4,0.98165,0.49083,0.5,0.49537,0.98165,0.98165,0.98165
3,5,0.57578,0.36204,0.35955,0.35887,0.57578,0.57578,0.57578
4,1,0.93031,0.51867,0.50263,0.4937,0.93031,0.93031,0.93031
4,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,3,0.99969,0.5,0.49985,0.49992,0.99969,0.99969,0.99969
4,4,0.98165,0.49083,0.5,0.49537,0.98165,0.98165,0.98165
4,5,0.61605,0.38911,0.35306,0.3187,0.61605,0.61605,0.61605
5,1,0.92292,0.51285,0.50367,0.49879,0.92292,0.92292,0.92292
5,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,3,0.99969,0.33333,0.33323,0.33328,0.99969,0.99969,0.99969
5,4,0.98165,0.49083,0.5,0.49537,0.98165,0.98165,0.98165
5,5,0.60435,0.55599,0.52972,0.4984,0.60435,0.60435,0.60435
6,1,0.92427,0.51218,0.50314,0.49742,0.92427,0.92427,0.92427
6,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,3,0.99969,0.5,0.49985,0.49992,0.99969,0.99969,0.99969
6,4,0.98165,0.49083,0.5,0.49537,0.98165,0.98165,0.98165
6,5,0.59374,0.55527,0.54533,0.54001,0.59374,0.59374,0.59374
7,1,0.92779,0.51946,0.50378,0.49701,0.92779,0.92779,0.92779
7,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,3,0.99969,0.5,0.49985,0.49992,0.99969,0.99969,0.99969
7,4,0.98165,0.49083,0.5,0.49537,0.98165,0.98165,0.98165
7,5,0.6117,0.56997,0.53304,0.49614,0.6117,0.6117,0.6117
8,1,0.93636,0.5519,0.50089,0.48619,0.93636,0.93636,0.93636
8,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,3,0.99985,0.5,0.49992,0.49996,0.99985,0.99985,0.99985
8,4,0.98165,0.49083,0.5,0.49537,0.98165,0.98165,0.98165
8,5,0.61578,0.38944,0.35175,0.31481,0.61578,0.61578,0.61578
9,1,0.92477,0.50887,0.50216,0.49558,0.92477,0.92477,0.92477
9,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,3,0.99985,0.5,0.49992,0.49996,0.99985,0.99985,0.99985
9,4,0.98165,0.49083,0.5,0.49537,0.98165,0.98165,0.98165
9,5,0.62177,0.39675,0.3603,0.33369,0.62177,0.62177,0.62177
10,1,0.933,0.51861,0.50158,0.49007,0.933,0.933,0.933
10,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,3,0.99985,0.5,0.49992,0.49996,0.99985,0.99985,0.99985
10,4,0.98165,0.49083,0.5,0.49537,0.98165,0.98165,0.98165
10,5,0.62068,0.3963,0.35798,0.32812,0.62068,0.62068,0.62068
11,1,0.93014,0.49067,0.49881,0.48666,0.93014,0.93014,0.93014
11,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11,3,0.99985,0.5,0.49992,0.49996,0.99985,0.99985,0.99985
11,4,0.98165,0.49083,0.5,0.49537,0.98165,0.98165,0.98165
11,5,0.62014,0.44531,0.34599,0.28516,0.62014,0.62014,0.62014
12,1,0.93568,0.57583,0.50301,0.49109,0.93568,0.93568,0.93568
12,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,4,0.98165,0.49083,0.5,0.49537,0.98165,0.98165,0.98165
12,5,0.61932,0.67095,0.51732,0.4229,0.61932,0.61932,0.61932
13,1,0.92578,0.49512,0.49897,0.4896,0.92578,0.92578,0.92578
13,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13,4,0.98165,0.49083,0.5,0.49537,0.98165,0.98165,0.98165
13,5,0.62612,0.433,0.3538,0.30596,0.62612,0.62612,0.62612
14,1,0.92947,0.50631,0.50094,0.49106,0.92947,0.92947,0.92947
14,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14,4,0.98165,0.49083,0.5,0.49537,0.98165,0.98165,0.98165
14,5,0.62585,0.44287,0.35233,0.30069,0.62585,0.62585,0.62585
15,1,0.93031,0.49118,0.4989,0.48672,0.93031,0.93031,0.93031
15,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15,3,0.99985,0.5,0.49992,0.49996,0.99985,0.99985,0.99985
15,4,0.98165,0.49083,0.5,0.49537,0.98165,0.98165,0.98165
15,5,0.57878,0.3723,0.37223,0.37226,0.57878,0.57878,0.57878
16,1,0.92997,0.49018,0.49872,0.4866,0.92997,0.92997,0.92997
16,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16,3,0.99985,0.5,0.49992,0.49996,0.99985,0.99985,0.99985
16,4,0.98165,0.49083,0.5,0.49537,0.98165,0.98165,0.98165
16,5,0.62503,0.39813,0.36786,0.3504,0.62503,0.62503,0.62503
17,1,0.93501,0.50424,0.50017,0.48578,0.93501,0.93501,0.93501
17,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17,4,0.98165,0.49083,0.5,0.49537,0.98165,0.98165,0.98165
17,5,0.51728,0.54599,0.54545,0.51721,0.51728,0.51728,0.51728
18,1,0.93552,0.51399,0.50044,0.48593,0.93552,0.93552,0.93552
18,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18,3,0.99985,0.5,0.49992,0.49996,0.99985,0.99985,0.99985
18,4,0.98165,0.49083,0.5,0.49537,0.98165,0.98165,0.98165
18,5,0.63238,0.42639,0.36283,0.32829,0.63238,0.63238,0.63238
19,1,0.93619,0.53999,0.5008,0.48614,0.93619,0.93619,0.93619
19,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19,4,0.98165,0.49083,0.5,0.49537,0.98165,0.98165,0.98165
19,5,0.62939,0.40645,0.36786,0.34643,0.62939,0.62939,0.62939
20,1,0.93367,0.49121,0.49945,0.48536,0.93367,0.93367,0.93367
20,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,4,0.98165,0.49083,0.5,0.49537,0.98165,0.98165,0.98165
20,5,0.63048,0.41615,0.36368,0.33342,0.63048,0.63048,0.63048
21,1,0.93451,0.49792,0.4999,0.48562,0.93451,0.93451,0.93451
21,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
21,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
21,4,0.98165,0.49083,0.5,0.49537,0.98165,0.98165,0.98165
21,5,0.62993,0.63832,0.53951,0.48177,0.62993,0.62993,0.62993
22,1,0.93568,0.51854,0.50053,0.48598,0.93568,0.93568,0.93568
22,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
22,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
22,4,0.98165,0.49083,0.5,0.49537,0.98165,0.98165,0.98165
22,5,0.62612,0.47076,0.35067,0.2933,0.62612,0.62612,0.62612
23,1,0.93636,0.5519,0.50089,0.48619,0.93636,0.93636,0.93636
23,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
23,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
23,4,0.98165,0.49083,0.5,0.49537,0.98165,0.98165,0.98165
23,5,0.6332,0.42898,0.36319,0.32838,0.6332,0.6332,0.6332
24,1,0.93501,0.33799,0.33345,0.32385,0.93501,0.93501,0.93501
24,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
24,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
24,4,0.98165,0.49083,0.5,0.49537,0.98165,0.98165,0.98165
24,5,0.60735,0.57245,0.55911,0.55466,0.60735,0.60735,0.60735
25,1,0.93636,0.5519,0.50089,0.48619,0.93636,0.93636,0.93636
25,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
25,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
25,4,0.98165,0.49083,0.5,0.49537,0.98165,0.98165,0.98165
25,5,0.62204,0.59067,0.57156,0.56683,0.62204,0.62204,0.62204
26,1,0.93585,0.52411,0.50062,0.48603,0.93585,0.93585,0.93585
26,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
26,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
26,4,0.98165,0.49083,0.5,0.49537,0.98165,0.98165,0.98165
26,5,0.6332,0.44508,0.36015,0.31794,0.6332,0.6332,0.6332
27,1,0.93636,0.5519,0.50089,0.48619,0.93636,0.93636,0.93636
27,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
27,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
27,4,0.98165,0.49083,0.5,0.49537,0.98165,0.98165,0.98165
27,5,0.62531,0.46548,0.35014,0.29266,0.62531,0.62531,0.62531
28,1,0.93636,0.5519,0.50089,0.48619,0.93636,0.93636,0.93636
28,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
28,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
