round,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0.71523,0.6924,0.68483,0.68782,0.71523,0.71523,0.71523
2,0.71128,0.68918,0.66596,0.67163,0.71128,0.71128,0.71128
3,0.71479,0.69196,0.67811,0.68266,0.71479,0.71479,0.71479
4,0.71407,0.69113,0.67729,0.68182,0.71407,0.71407,0.71407
5,0.71389,0.69084,0.67858,0.68278,0.71389,0.71389,0.71389
6,0.71541,0.69254,0.68205,0.68585,0.71541,0.71541,0.71541
7,0.71649,0.69396,0.67977,0.68442,0.71649,0.71649,0.71649
8,0.71514,0.69245,0.68675,0.68914,0.71514,0.71514,0.71514
9,0.71577,0.69295,0.6831,0.68674,0.71577,0.71577,0.71577
10,0.7147,0.69189,0.68553,0.68813,0.7147,0.7147,0.7147
11,0.71577,0.69328,0.67751,0.68244,0.71577,0.71577,0.71577
12,0.71658,0.69417,0.67887,0.68373,0.71658,0.71658,0.71658
13,0.71559,0.69301,0.67788,0.68269,0.71559,0.71559,0.71559
14,0.71658,0.69392,0.68179,0.686,0.71658,0.71658,0.71658
15,0.71631,0.69448,0.67476,0.68029,0.71631,0.71631,0.71631
16,0.71685,0.69423,0.68682,0.68977,0.71685,0.71685,0.71685
17,0.71883,0.69682,0.69351,0.695,0.71883,0.71883,0.71883
18,0.7191,0.69673,0.68921,0.69221,0.7191,0.7191,0.7191
19,0.71838,0.69597,0.68921,0.69196,0.71838,0.71838,0.71838
20,0.71865,0.69648,0.68193,0.6867,0.71865,0.71865,0.71865
