round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1,tp,fp,tn,fn,group_0_tp,group_0_fp,group_0_tn,group_0_fn,group_0_positive_rate,group_0_true_positive_rate,group_1_tp,group_1_fp,group_1_tn,group_1_fn,group_1_positive_rate,group_1_true_positive_rate,statistical_parity_difference,equal_opportunity_difference
1,0,0.6327,0.31635,0.5,0.38752,0.6327,0.6327,0.6327,0.0,0.0,5638.0,3273.0,0.0,0.0,3098.0,131.0,0.0,0.0,0.0,0.0,2540.0,3142.0,0.0,0.0,0.0,0.0
1,1,0.58187,0.6241,0.62471,0.58186,0.58187,0.58187,0.58187,2573.0,3026.0,2612.0,700.0,36.0,973.0,2125.0,95.0,0.31248,0.27481,2537.0,2053.0,487.0,605.0,0.80781,0.80745,0.49533,0.53264
1,2,0.6327,0.31635,0.5,0.38752,0.6327,0.6327,0.6327,0.0,0.0,5638.0,3273.0,0.0,0.0,3098.0,131.0,0.0,0.0,0.0,0.0,2540.0,3142.0,0.0,0.0,0.0,0.0
1,3,0.64965,0.65566,0.53313,0.47156,0.64965,0.64965,0.64965,308.0,157.0,5481.0,2965.0,10.0,42.0,3056.0,121.0,0.0161,0.07634,298.0,115.0,2425.0,2844.0,0.07269,0.09484,0.05658,0.01851
1,4,0.68971,0.66284,0.65046,0.65419,0.68971,0.68971,0.68971,1645.0,1137.0,4501.0,1628.0,41.0,377.0,2721.0,90.0,0.12945,0.31298,1604.0,760.0,1780.0,1538.0,0.41605,0.5105,0.2866,0.19753
2,0,0.6327,0.31635,0.5,0.38752,0.6327,0.6327,0.6327,0.0,0.0,5638.0,3273.0,0.0,0.0,3098.0,131.0,0.0,0.0,0.0,0.0,2540.0,3142.0,0.0,0.0,0.0,0.0
2,1,0.62215,0.62235,0.63162,0.61545,0.62215,0.62215,0.62215,2184.0,2278.0,3360.0,1089.0,20.0,530.0,2568.0,111.0,0.17033,0.15267,2164.0,1748.0,792.0,978.0,0.68849,0.68873,0.51816,0.53606
2,2,0.6327,0.31635,0.5,0.38752,0.6327,0.6327,0.6327,0.0,0.0,5638.0,3273.0,0.0,0.0,3098.0,131.0,0.0,0.0,0.0,0.0,2540.0,3142.0,0.0,0.0,0.0,0.0
2,3,0.65212,0.64198,0.54219,0.49476,0.65212,0.65212,0.65212,419.0,246.0,5392.0,2854.0,13.0,72.0,3026.0,118.0,0.02632,0.09924,406.0,174.0,2366.0,2736.0,0.10208,0.12922,0.07575,0.02998
2,4,0.68556,0.6591,0.65257,0.65503,0.68556,0.68556,0.68556,1729.0,1258.0,4380.0,1544.0,42.0,426.0,2672.0,89.0,0.14494,0.32061,1687.0,832.0,1708.0,1455.0,0.44333,0.53692,0.29839,0.21631
3,0,0.6327,0.31635,0.5,0.38752,0.6327,0.6327,0.6327,0.0,0.0,5638.0,3273.0,0.0,0.0,3098.0,131.0,0.0,0.0,0.0,0.0,2540.0,3142.0,0.0,0.0,0.0,0.0
3,1,0.61396,0.62411,0.63283,0.61031,0.61396,0.61396,0.61396,2304.0,2471.0,3167.0,969.0,25.0,637.0,2461.0,106.0,0.20502,0.19084,2279.0,1834.0,706.0,863.0,0.72386,0.72533,0.51885,0.53449
3,2,0.6327,0.31635,0.5,0.38752,0.6327,0.6327,0.6327,0.0,0.0,5638.0,3273.0,0.0,0.0,3098.0,131.0,0.0,0.0,0.0,0.0,2540.0,3142.0,0.0,0.0,0.0,0.0
3,3,0.65436,0.63807,0.54948,0.51133,0.65436,0.65436,0.65436,505.0,312.0,5326.0,2768.0,15.0,93.0,3005.0,116.0,0.03345,0.1145,490.0,219.0,2321.0,2652.0,0.12478,0.15595,0.09133,0.04145
3,4,0.68141,0.65595,0.65345,0.65456,0.68141,0.68141,0.68141,1794.0,1360.0,4278.0,1479.0,45.0,477.0,2621.0,86.0,0.16166,0.34351,1749.0,883.0,1657.0,1393.0,0.46322,0.55665,0.30156,0.21314
4,0,0.6327,0.31635,0.5,0.38752,0.6327,0.6327,0.6327,0.0,0.0,5638.0,3273.0,0.0,0.0,3098.0,131.0,0.0,0.0,0.0,0.0,2540.0,3142.0,0.0,0.0,0.0,0.0
4,1,0.61766,0.62343,0.63256,0.61283,0.61766,0.61766,0.61766,2254.0,2388.0,3250.0,1019.0,24.0,599.0,2499.0,107.0,0.19294,0.18321,2230.0,1789.0,751.0,912.0,0.70732,0.70974,0.51438,0.52653
