round,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1,tp,fp,tn,fn,group_0_tp,group_0_fp,group_0_tn,group_0_fn,group_0_positive_rate,group_0_true_positive_rate,group_1_tp,group_1_fp,group_1_tn,group_1_fn,group_1_positive_rate,group_1_true_positive_rate,statistical_parity_difference,equal_opportunity_difference
1,0.68184,0.65317,0.63039,0.63411,0.68184,0.68184,0.68184,1786.0,1239.0,5809.0,2305.0,31.0,352.0,3528.0,153.0,0.09424,0.16848,1755.0,887.0,2281.0,2152.0,0.37343,0.44919,0.27919,0.28072
2,0.69001,0.66369,0.63797,0.64225,0.69001,0.69001,0.69001,1808.0,1170.0,5878.0,2283.0,29.0,320.0,3560.0,155.0,0.08588,0.15761,1779.0,850.0,2318.0,2128.0,0.37159,0.45534,0.28571,0.29773
3,0.69513,0.67018,0.66483,0.667,0.69513,0.69513,0.69513,2253.0,1558.0,5490.0,1838.0,44.0,449.0,3431.0,140.0,0.12131,0.23913,2209.0,1109.0,2059.0,1698.0,0.46898,0.5654,0.34767,0.32627
4,0.70033,0.67537,0.66567,0.66908,0.70033,0.70033,0.70033,2189.0,1436.0,5612.0,1902.0,44.0,399.0,3481.0,140.0,0.10901,0.23913,2145.0,1037.0,2131.0,1762.0,0.44975,0.54901,0.34075,0.30988
5,0.70222,0.67886,0.65254,0.65778,0.70222,0.70222,0.70222,1904.0,1130.0,5918.0,2187.0,33.0,311.0,3569.0,151.0,0.08465,0.17935,1871.0,819.0,2349.0,2036.0,0.38021,0.47888,0.29557,0.29954
6,0.69997,0.67631,0.67374,0.67491,0.69997,0.69997,0.69997,2352.0,1603.0,5445.0,1739.0,46.0,465.0,3415.0,138.0,0.12574,0.25,2306.0,1138.0,2030.0,1601.0,0.48678,0.59022,0.36105,0.34022
7,0.70437,0.67991,0.66578,0.67015,0.70437,0.70437,0.70437,2129.0,1331.0,5717.0,1962.0,42.0,367.0,3513.0,142.0,0.10064,0.22826,2087.0,964.0,2204.0,1820.0,0.43124,0.53417,0.3306,0.30591
8,0.70563,0.68151,0.67303,0.6762,0.70563,0.70563,0.70563,2251.0,1439.0,5609.0,1840.0,43.0,386.0,3494.0,141.0,0.10556,0.2337,2208.0,1053.0,2115.0,1699.0,0.46092,0.56514,0.35536,0.33144
9,0.70536,0.68117,0.67225,0.67554,0.70536,0.70536,0.70536,2240.0,1431.0,5617.0,1851.0,40.0,386.0,3494.0,144.0,0.10482,0.21739,2200.0,1045.0,2123.0,1707.0,0.45866,0.56309,0.35383,0.3457
10,0.70608,0.68211,0.67462,0.67752,0.70608,0.70608,0.70608,2275.0,1458.0,5590.0,1816.0,43.0,386.0,3494.0,141.0,0.10556,0.2337,2232.0,1072.0,2096.0,1675.0,0.467,0.57128,0.36144,0.33759
11,0.70778,0.68406,0.6673,0.67216,0.70778,0.70778,0.70778,2106.0,1270.0,5778.0,1985.0,40.0,332.0,3548.0,144.0,0.09154,0.21739,2066.0,938.0,2230.0,1841.0,0.42459,0.52879,0.33306,0.3114
12,0.70841,0.68464,0.67595,0.67921,0.70841,0.70841,0.70841,2265.0,1422.0,5626.0,1826.0,38.0,368.0,3512.0,146.0,0.0999,0.20652,2227.0,1054.0,2114.0,1680.0,0.46375,0.57,0.36384,0.36348
13,0.71066,0.68721,0.673,0.67753,0.71066,0.71066,0.71066,2173.0,1305.0,5743.0,1918.0,38.0,321.0,3559.0,146.0,0.08834,0.20652,2135.0,984.0,2184.0,1772.0,0.44085,0.54646,0.35251,0.33993
14,0.70644,0.68713,0.64998,0.65528,0.70644,0.70644,0.70644,1789.0,968.0,6080.0,2302.0,29.0,213.0,3667.0,155.0,0.05955,0.15761,1760.0,755.0,2413.0,2147.0,0.35548,0.45047,0.29593,0.29286
15,0.70787,0.69176,0.64722,0.65213,0.70787,0.70787,0.70787,1713.0,876.0,6172.0,2378.0,30.0,199.0,3681.0,154.0,0.05635,0.16304,1683.0,677.0,2491.0,2224.0,0.33357,0.43077,0.27722,0.26772
16,0.70814,0.68915,0.6523,0.65781,0.70814,0.70814,0.70814,1808.0,968.0,6080.0,2283.0,28.0,210.0,3670.0,156.0,0.05856,0.15217,1780.0,758.0,2410.0,2127.0,0.35873,0.45559,0.30016,0.30342
17,0.70814,0.6843,0.66994,0.67444,0.70814,0.70814,0.70814,2152.0,1312.0,5736.0,1939.0,32.0,307.0,3573.0,152.0,0.08342,0.17391,2120.0,1005.0,2163.0,1787.0,0.4417,0.54262,0.35828,0.3687
18,0.69818,0.68048,0.68822,0.68279,0.69818,0.69818,0.69818,2662.0,1933.0,5115.0,1429.0,55.0,529.0,3351.0,129.0,0.1437,0.29891,2607.0,1404.0,1764.0,1300.0,0.56693,0.66726,0.42323,0.36835
19,0.70733,0.6873,0.69192,0.68917,0.70733,0.70733,0.70733,2593.0,1762.0,5286.0,1498.0,46.0,417.0,3463.0,138.0,0.11393,0.25,2547.0,1345.0,1823.0,1360.0,0.55011,0.65191,0.43618,0.40191
20,0.70949,0.68721,0.66311,0.66874,0.70949,0.70949,0.70949,1998.0,1143.0,5905.0,2093.0,33.0,291.0,3589.0,151.0,0.07972,0.17935,1965.0,852.0,2316.0,1942.0,0.39816,0.50294,0.31844,0.3236
