round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1,tp,fp,tn,fn,group_0_tp,group_0_fp,group_0_tn,group_0_fn,group_0_positive_rate,group_0_true_positive_rate,group_1_tp,group_1_fp,group_1_tn,group_1_fn,group_1_positive_rate,group_1_true_positive_rate,statistical_parity_difference,equal_opportunity_difference
1,0,0.6327,0.31635,0.5,0.38752,0.6327,0.6327,0.6327,0.0,0.0,5638.0,3273.0,0.0,0.0,3098.0,131.0,0.0,0.0,0.0,0.0,2540.0,3142.0,0.0,0.0,0.0,0.0
1,1,0.65503,0.64584,0.656,0.64471,0.65503,0.65503,0.65503,2159.0,1960.0,3678.0,1114.0,48.0,642.0,2456.0,83.0,0.21369,0.36641,2111.0,1318.0,1222.0,1031.0,0.60348,0.67187,0.3898,0.30545
2,0,0.6327,0.31635,0.5,0.38752,0.6327,0.6327,0.6327,0.0,0.0,5638.0,3273.0,0.0,0.0,3098.0,131.0,0.0,0.0,0.0,0.0,2540.0,3142.0,0.0,0.0,0.0,0.0
2,1,0.65874,0.66144,0.6736,0.65351,0.65874,0.65874,0.65874,2388.0,2156.0,3482.0,885.0,58.0,667.0,2431.0,73.0,0.22453,0.44275,2330.0,1489.0,1051.0,812.0,0.67212,0.74157,0.44759,0.29882
3,0,0.6327,0.31635,0.5,0.38752,0.6327,0.6327,0.6327,0.0,0.0,5638.0,3273.0,0.0,0.0,3098.0,131.0,0.0,0.0,0.0,0.0,2540.0,3142.0,0.0,0.0,0.0,0.0
3,1,0.62911,0.66705,0.67076,0.62894,0.62911,0.62911,0.62911,2709.0,2741.0,2897.0,564.0,64.0,925.0,2173.0,67.0,0.30629,0.48855,2645.0,1816.0,724.0,497.0,0.78511,0.84182,0.47882,0.35327
4,0,0.6327,0.31635,0.5,0.38752,0.6327,0.6327,0.6327,0.0,0.0,5638.0,3273.0,0.0,0.0,3098.0,131.0,0.0,0.0,0.0,0.0,2540.0,3142.0,0.0,0.0,0.0,0.0
4,1,0.65032,0.67488,0.68367,0.64923,0.65032,0.65032,0.65032,2649.0,2492.0,3146.0,624.0,61.0,771.0,2327.0,70.0,0.25766,0.46565,2588.0,1721.0,819.0,554.0,0.75836,0.82368,0.50069,0.35803
5,0,0.6327,0.31635,0.5,0.38752,0.6327,0.6327,0.6327,0.0,0.0,5638.0,3273.0,0.0,0.0,3098.0,131.0,0.0,0.0,0.0,0.0,2540.0,3142.0,0.0,0.0,0.0,0.0
5,1,0.67501,0.67583,0.68915,0.66946,0.67501,0.67501,0.67501,2430.0,2053.0,3585.0,843.0,56.0,567.0,2531.0,75.0,0.19294,0.42748,2374.0,1486.0,1054.0,768.0,0.67934,0.75557,0.4864,0.32809
6,0,0.6327,0.31635,0.5,0.38752,0.6327,0.6327,0.6327,0.0,0.0,5638.0,3273.0,0.0,0.0,3098.0,131.0,0.0,0.0,0.0,0.0,2540.0,3142.0,0.0,0.0,0.0,0.0
6,1,0.64179,0.67767,0.68264,0.64152,0.64179,0.64179,0.64179,2738.0,2657.0,2981.0,535.0,66.0,853.0,2245.0,65.0,0.28461,0.50382,2672.0,1804.0,736.0,470.0,0.78775,0.85041,0.50314,0.3466
7,0,0.6327,0.31635,0.5,0.38752,0.6327,0.6327,0.6327,0.0,0.0,5638.0,3273.0,0.0,0.0,3098.0,131.0,0.0,0.0,0.0,0.0,2540.0,3142.0,0.0,0.0,0.0,0.0
7,1,0.65099,0.68219,0.68914,0.65046,0.65099,0.65099,0.65099,2726.0,2563.0,3075.0,547.0,65.0,800.0,2298.0,66.0,0.26788,0.49618,2661.0,1763.0,777.0,481.0,0.7786,0.84691,0.51071,0.35073
