round,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1,tp,fp,tn,fn,group_0_tp,group_0_fp,group_0_tn,group_0_fn,group_0_positive_rate,group_0_true_positive_rate,group_1_tp,group_1_fp,group_1_tn,group_1_fn,group_1_positive_rate,group_1_true_positive_rate,statistical_parity_difference,equal_opportunity_difference
1,0.71523,0.6924,0.68483,0.68782,0.71523,0.71523,0.71523,2333.0,1414.0,5634.0,1758.0,30.0,240.0,3640.0,154.0,0.06644,0.16304,2303.0,1174.0,1994.0,1604.0,0.49145,0.58945,0.42501,0.42641
2,0.71128,0.68918,0.66596,0.67163,0.71128,0.71128,0.71128,2026.0,1151.0,5897.0,2065.0,18.0,161.0,3719.0,166.0,0.04405,0.09783,2008.0,990.0,2178.0,1899.0,0.42375,0.51395,0.3797,0.41612
3,0.71479,0.69196,0.67811,0.68266,0.71479,0.71479,0.71479,2209.0,1295.0,5753.0,1882.0,26.0,200.0,3680.0,158.0,0.05561,0.1413,2183.0,1095.0,2073.0,1724.0,0.46332,0.55874,0.40771,0.41744
4,0.71407,0.69113,0.67729,0.68182,0.71407,0.71407,0.71407,2204.0,1298.0,5750.0,1887.0,26.0,205.0,3675.0,158.0,0.05684,0.1413,2178.0,1093.0,2075.0,1729.0,0.46233,0.55746,0.40549,0.41616
5,0.71389,0.69084,0.67858,0.68278,0.71389,0.71389,0.71389,2232.0,1328.0,5720.0,1859.0,27.0,214.0,3666.0,157.0,0.0593,0.14674,2205.0,1114.0,2054.0,1702.0,0.46912,0.56437,0.40982,0.41763
6,0.71541,0.69254,0.68205,0.68585,0.71541,0.71541,0.71541,2276.0,1355.0,5693.0,1815.0,28.0,221.0,3659.0,156.0,0.06127,0.15217,2248.0,1134.0,2034.0,1659.0,0.47802,0.57538,0.41675,0.4232
7,0.71649,0.69396,0.67977,0.68442,0.71649,0.71649,0.71649,2215.0,1282.0,5766.0,1876.0,27.0,211.0,3669.0,157.0,0.05856,0.14674,2188.0,1071.0,2097.0,1719.0,0.46064,0.56002,0.40207,0.41328
8,0.71514,0.69245,0.68675,0.68914,0.71514,0.71514,0.71514,2372.0,1454.0,5594.0,1719.0,34.0,258.0,3622.0,150.0,0.07185,0.18478,2338.0,1196.0,1972.0,1569.0,0.49951,0.59841,0.42765,0.41363
9,0.71577,0.69295,0.6831,0.68674,0.71577,0.71577,0.71577,2291.0,1366.0,5682.0,1800.0,32.0,240.0,3640.0,152.0,0.06693,0.17391,2259.0,1126.0,2042.0,1648.0,0.47845,0.57819,0.41152,0.40428
10,0.7147,0.69189,0.68553,0.68813,0.7147,0.7147,0.7147,2355.0,1442.0,5606.0,1736.0,34.0,253.0,3627.0,150.0,0.07062,0.18478,2321.0,1189.0,1979.0,1586.0,0.49611,0.59406,0.42549,0.40928
11,0.71577,0.69328,0.67751,0.68244,0.71577,0.71577,0.71577,2182.0,1257.0,5791.0,1909.0,26.0,197.0,3683.0,158.0,0.05487,0.1413,2156.0,1060.0,2108.0,1751.0,0.45456,0.55183,0.39969,0.41053
12,0.71658,0.69417,0.67887,0.68373,0.71658,0.71658,0.71658,2196.0,1262.0,5786.0,1895.0,27.0,206.0,3674.0,157.0,0.05733,0.14674,2169.0,1056.0,2112.0,1738.0,0.45583,0.55516,0.3985,0.40842
13,0.71559,0.69301,0.67788,0.68269,0.71559,0.71559,0.71559,2192.0,1269.0,5779.0,1899.0,24.0,206.0,3674.0,160.0,0.05659,0.13043,2168.0,1063.0,2105.0,1739.0,0.45668,0.5549,0.40008,0.42447
14,0.71658,0.69392,0.68179,0.686,0.71658,0.71658,0.71658,2253.0,1319.0,5729.0,1838.0,28.0,214.0,3666.0,156.0,0.05955,0.15217,2225.0,1105.0,2063.0,1682.0,0.47067,0.56949,0.41112,0.41732
15,0.71631,0.69448,0.67476,0.68029,0.71631,0.71631,0.71631,2120.0,1189.0,5859.0,1971.0,23.0,190.0,3690.0,161.0,0.05241,0.125,2097.0,999.0,2169.0,1810.0,0.4376,0.53673,0.38519,0.41173
16,0.71685,0.69423,0.68682,0.68977,0.71685,0.71685,0.71685,2347.0,1410.0,5638.0,1744.0,34.0,236.0,3644.0,150.0,0.06644,0.18478,2313.0,1174.0,1994.0,1594.0,0.49286,0.59201,0.42643,0.40723
17,0.71883,0.69682,0.69351,0.695,0.71883,0.71883,0.71883,2447.0,1488.0,5560.0,1644.0,32.0,231.0,3649.0,152.0,0.06471,0.17391,2415.0,1257.0,1911.0,1492.0,0.51901,0.61812,0.4543,0.44421
18,0.7191,0.69673,0.68921,0.69221,0.7191,0.7191,0.7191,2359.0,1397.0,5651.0,1732.0,28.0,213.0,3667.0,156.0,0.0593,0.15217,2331.0,1184.0,1984.0,1576.0,0.49682,0.59662,0.43752,0.44445
19,0.71838,0.69597,0.68921,0.69196,0.71838,0.71838,0.71838,2370.0,1416.0,5632.0,1721.0,26.0,206.0,3674.0,158.0,0.05709,0.1413,2344.0,1210.0,1958.0,1563.0,0.50233,0.59995,0.44525,0.45864
20,0.71865,0.69648,0.68193,0.6867,0.71865,0.71865,0.71865,2224.0,1267.0,5781.0,1867.0,24.0,165.0,3715.0,160.0,0.04651,0.13043,2200.0,1102.0,2066.0,1707.0,0.46671,0.56309,0.42021,0.43266
