round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1,tp,fp,tn,fn,group_0_tp,group_0_fp,group_0_tn,group_0_fn,group_0_positive_rate,group_0_true_positive_rate,group_1_tp,group_1_fp,group_1_tn,group_1_fn,group_1_positive_rate,group_1_true_positive_rate,statistical_parity_difference,equal_opportunity_difference
1,0,0.6327,0.31635,0.5,0.38752,0.6327,0.6327,0.6327,0.0,0.0,5638.0,3273.0,0.0,0.0,3098.0,131.0,0.0,0.0,0.0,0.0,2540.0,3142.0,0.0,0.0,0.0,0.0
1,1,0.6327,0.31635,0.5,0.38752,0.6327,0.6327,0.6327,0.0,0.0,5638.0,3273.0,0.0,0.0,3098.0,131.0,0.0,0.0,0.0,0.0,2540.0,3142.0,0.0,0.0,0.0,0.0
1,2,0.6327,0.31635,0.5,0.38752,0.6327,0.6327,0.6327,0.0,0.0,5638.0,3273.0,0.0,0.0,3098.0,131.0,0.0,0.0,0.0,0.0,2540.0,3142.0,0.0,0.0,0.0,0.0
1,3,0.6327,0.31635,0.5,0.38752,0.6327,0.6327,0.6327,0.0,0.0,5638.0,3273.0,0.0,0.0,3098.0,131.0,0.0,0.0,0.0,0.0,2540.0,3142.0,0.0,0.0,0.0,0.0
1,4,0.69251,0.66601,0.6489,0.65324,0.69251,0.69251,0.69251,1586.0,1053.0,4585.0,1687.0,29.0,305.0,2793.0,102.0,0.10344,0.22137,1557.0,748.0,1792.0,1585.0,0.40567,0.49554,0.30223,0.27417
2,0,0.6327,0.31635,0.5,0.38752,0.6327,0.6327,0.6327,0.0,0.0,5638.0,3273.0,0.0,0.0,3098.0,131.0,0.0,0.0,0.0,0.0,2540.0,3142.0,0.0,0.0,0.0,0.0
2,1,0.63236,0.49817,0.49999,0.38855,0.63236,0.63236,0.63236,4.0,7.0,5631.0,3269.0,0.0,1.0,3097.0,131.0,0.00031,0.0,4.0,6.0,2534.0,3138.0,0.00176,0.00127,0.00145,0.00127
2,2,0.6327,0.31635,0.5,0.38752,0.6327,0.6327,0.6327,0.0,0.0,5638.0,3273.0,0.0,0.0,3098.0,131.0,0.0,0.0,0.0,0.0,2540.0,3142.0,0.0,0.0,0.0,0.0
2,3,0.6327,0.31635,0.5,0.38752,0.6327,0.6327,0.6327,0.0,0.0,5638.0,3273.0,0.0,0.0,3098.0,131.0,0.0,0.0,0.0,0.0,2540.0,3142.0,0.0,0.0,0.0,0.0
2,4,0.68107,0.66183,0.66792,0.66377,0.68107,0.68107,0.68107,2024.0,1593.0,4045.0,1249.0,48.0,513.0,2585.0,83.0,0.17374,0.36641,1976.0,1080.0,1460.0,1166.0,0.53784,0.6289,0.3641,0.26249
3,0,0.6327,0.31635,0.5,0.38752,0.6327,0.6327,0.6327,0.0,0.0,5638.0,3273.0,0.0,0.0,3098.0,131.0,0.0,0.0,0.0,0.0,2540.0,3142.0,0.0,0.0,0.0,0.0
3,1,0.64875,0.60971,0.58791,0.58753,0.64875,0.64875,0.64875,1174.0,1031.0,4607.0,2099.0,2.0,119.0,2979.0,129.0,0.03747,0.01527,1172.0,912.0,1628.0,1970.0,0.36677,0.37301,0.3293,0.35774
3,2,0.6327,0.31635,0.5,0.38752,0.6327,0.6327,0.6327,0.0,0.0,5638.0,3273.0,0.0,0.0,3098.0,131.0,0.0,0.0,0.0,0.0,2540.0,3142.0,0.0,0.0,0.0,0.0
3,3,0.6327,0.31635,0.5,0.38752,0.6327,0.6327,0.6327,0.0,0.0,5638.0,3273.0,0.0,0.0,3098.0,131.0,0.0,0.0,0.0,0.0,2540.0,3142.0,0.0,0.0,0.0,0.0
3,4,0.68163,0.66056,0.66478,0.66218,0.68163,0.68163,0.68163,1968.0,1532.0,4106.0,1305.0,45.0,501.0,2597.0,86.0,0.16909,0.34351,1923.0,1031.0,1509.0,1219.0,0.51989,0.61203,0.35079,0.26852
4,0,0.6327,0.31635,0.5,0.38752,0.6327,0.6327,0.6327,0.0,0.0,5638.0,3273.0,0.0,0.0,3098.0,131.0,0.0,0.0,0.0,0.0,2540.0,3142.0,0.0,0.0,0.0,0.0
4,1,0.64695,0.60977,0.59508,0.59657,0.64695,0.64695,0.64695,1308.0,1181.0,4457.0,1965.0,3.0,155.0,2943.0,128.0,0.04893,0.0229,1305.0,1026.0,1514.0,1837.0,0.41024,0.41534,0.36131,0.39244
4,2,0.6327,0.31635,0.5,0.38752,0.6327,0.6327,0.6327,0.0,0.0,5638.0,3273.0,0.0,0.0,3098.0,131.0,0.0,0.0,0.0,0.0,2540.0,3142.0,0.0,0.0,0.0,0.0
4,3,0.63259,0.31633,0.49991,0.38748,0.63259,0.63259,0.63259,0.0,1.0,5637.0,3273.0,0.0,0.0,3098.0,131.0,0.0,0.0,0.0,1.0,2539.0,3142.0,0.00018,0.0,0.00018,0.0
4,4,0.67377,0.65708,0.66498,0.65878,0.67377,0.67377,0.67377,2068.0,1702.0,3936.0,1205.0,54.0,581.0,2517.0,77.0,0.19666,0.41221,2014.0,1121.0,1419.0,1128.0,0.55174,0.64099,0.35509,0.22878
5,0,0.6327,0.31635,0.5,0.38752,0.6327,0.6327,0.6327,0.0,0.0,5638.0,3273.0,0.0,0.0,3098.0,131.0,0.0,0.0,0.0,0.0,2540.0,3142.0,0.0,0.0,0.0,0.0
5,1,0.64549,0.60258,0.56432,0.55263,0.64549,0.64549,0.64549,846.0,732.0,4906.0,2427.0,0.0,64.0,3034.0,131.0,0.01982,0.0,846.0,668.0,1872.0,2296.0,0.26646,0.26926,0.24664,0.26926
5,2,0.6327,0.31635,0.5,0.38752,0.6327,0.6327,0.6327,0.0,0.0,5638.0,3273.0,0.0,0.0,3098.0,131.0,0.0,0.0,0.0,0.0,2540.0,3142.0,0.0,0.0,0.0,0.0
5,3,0.63293,0.64978,0.50043,0.38876,0.63293,0.63293,0.63293,4.0,2.0,5636.0,3269.0,0.0,1.0,3097.0,131.0,0.00031,0.0,4.0,1.0,2539.0,3138.0,0.00088,0.00127,0.00057,0.00127
5,4,0.67927,0.65732,0.66061,0.65868,0.67927,0.67927,0.67927,1932.0,1517.0,4121.0,1341.0,48.0,517.0,2581.0,83.0,0.17498,0.36641,1884.0,1000.0,1540.0,1258.0,0.50757,0.59962,0.33259,0.23321
6,0,0.6327,0.31635,0.5,0.38752,0.6327,0.6327,0.6327,0.0,0.0,5638.0,3273.0,0.0,0.0,3098.0,131.0,0.0,0.0,0.0,0.0,2540.0,3142.0,0.0,0.0,0.0,0.0
6,1,0.63798,0.60153,0.51788,0.44472,0.63798,0.63798,0.63798,214.0,167.0,5471.0,3059.0,0.0,10.0,3088.0,131.0,0.0031,0.0,214.0,157.0,2383.0,2928.0,0.06529,0.06811,0.0622,0.06811
6,2,0.6327,0.31635,0.5,0.38752,0.6327,0.6327,0.6327,0.0,0.0,5638.0,3273.0,0.0,0.0,3098.0,131.0,0.0,0.0,0.0,0.0,2540.0,3142.0,0.0,0.0,0.0,0.0
6,3,0.63719,0.63359,0.50976,0.41601,0.63719,0.63719,0.63719,97.0,57.0,5581.0,3176.0,2.0,19.0,3079.0,129.0,0.0065,0.01527,95.0,38.0,2502.0,3047.0,0.02341,0.03024,0.0169,0.01497
6,4,0.66872,0.65583,0.66554,0.6565,0.66872,0.66872,0.66872,2139.0,1818.0,3820.0,1134.0,59.0,651.0,2447.0,72.0,0.21988,0.45038,2080.0,1167.0,1373.0,1062.0,0.57145,0.662,0.35157,0.21162
7,0,0.6327,0.31635,0.5,0.38752,0.6327,0.6327,0.6327,0.0,0.0,5638.0,3273.0,0.0,0.0,3098.0,131.0,0.0,0.0,0.0,0.0,2540.0,3142.0,0.0,0.0,0.0,0.0
7,1,0.64123,0.61555,0.61677,0.6161,0.64123,0.64123,0.64123,1717.0,1641.0,3997.0,1556.0,8.0,279.0,2819.0,123.0,0.08888,0.06107,1709.0,1362.0,1178.0,1433.0,0.54048,0.54392,0.4516,0.48285
7,2,0.6327,0.31635,0.5,0.38752,0.6327,0.6327,0.6327,0.0,0.0,5638.0,3273.0,0.0,0.0,3098.0,131.0,0.0,0.0,0.0,0.0,2540.0,3142.0,0.0,0.0,0.0,0.0
7,3,0.64145,0.62241,0.52172,0.45039,0.64145,0.64145,0.64145,231.0,153.0,5485.0,3042.0,8.0,54.0,3044.0,123.0,0.0192,0.06107,223.0,99.0,2441.0,2919.0,0.05667,0.07097,0.03747,0.00991
7,4,0.67018,0.65444,0.66278,0.65589,0.67018,0.67018,0.67018,2078.0,1744.0,3894.0,1195.0,55.0,620.0,2478.0,76.0,0.20904,0.41985,2023.0,1124.0,1416.0,1119.0,0.55385,0.64386,0.34481,0.22401
8,0,0.6327,0.31635,0.5,0.38752,0.6327,0.6327,0.6327,0.0,0.0,5638.0,3273.0,0.0,0.0,3098.0,131.0,0.0,0.0,0.0,0.0,2540.0,3142.0,0.0,0.0,0.0,0.0
8,1,0.63495,0.58976,0.51004,0.42309,0.63495,0.63495,0.63495,129.0,109.0,5529.0,3144.0,0.0,5.0,3093.0,131.0,0.00155,0.0,129.0,104.0,2436.0,3013.0,0.04101,0.04106,0.03946,0.04106
8,2,0.6327,0.31635,0.5,0.38752,0.6327,0.6327,0.6327,0.0,0.0,5638.0,3273.0,0.0,0.0,3098.0,131.0,0.0,0.0,0.0,0.0,2540.0,3142.0,0.0,0.0,0.0,0.0
8,3,0.64482,0.62288,0.53072,0.47321,0.64482,0.64482,0.64482,330.0,222.0,5416.0,2943.0,12.0,78.0,3020.0,119.0,0.02787,0.0916,318.0,144.0,2396.0,2824.0,0.08131,0.10121,0.05344,0.00961
8,4,0.66973,0.65544,0.66454,0.65655,0.66973,0.66973,0.66973,2111.0,1781.0,3857.0,1162.0,58.0,639.0,2459.0,73.0,0.21586,0.44275,2053.0,1142.0,1398.0,1089.0,0.5623,0.65341,0.34645,0.21066
9,0,0.6327,0.31635,0.5,0.38752,0.6327,0.6327,0.6327,0.0,0.0,5638.0,3273.0,0.0,0.0,3098.0,131.0,0.0,0.0,0.0,0.0,2540.0,3142.0,0.0,0.0,0.0,0.0
9,1,0.64594,0.60722,0.58973,0.59038,0.64594,0.64594,0.64594,1237.0,1119.0,4519.0,2036.0,2.0,139.0,2959.0,129.0,0.04367,0.01527,1235.0,980.0,1560.0,1907.0,0.38983,0.39306,0.34616,0.37779
9,2,0.6327,0.31635,0.5,0.38752,0.6327,0.6327,0.6327,0.0,0.0,5638.0,3273.0,0.0,0.0,3098.0,131.0,0.0,0.0,0.0,0.0,2540.0,3142.0,0.0,0.0,0.0,0.0
9,3,0.6465,0.61145,0.5441,0.50824,0.6465,0.6465,0.6465,518.0,395.0,5243.0,2755.0,17.0,138.0,2960.0,114.0,0.048,0.12977,501.0,257.0,2283.0,2641.0,0.1334,0.15945,0.0854,0.02968
9,4,0.66603,0.65484,0.66507,0.65483,0.66603,0.66603,0.66603,2165.0,1868.0,3770.0,1108.0,63.0,685.0,2413.0,68.0,0.23165,0.48092,2102.0,1183.0,1357.0,1040.0,0.57814,0.669,0.34649,0.18808
10,0,0.6327,0.31635,0.5,0.38752,0.6327,0.6327,0.6327,0.0,0.0,5638.0,3273.0,0.0,0.0,3098.0,131.0,0.0,0.0,0.0,0.0,2540.0,3142.0,0.0,0.0,0.0,0.0
10,1,0.63371,0.58342,0.50567,0.40896,0.63371,0.63371,0.63371,76.0,67.0,5571.0,3197.0,0.0,1.0,3097.0,131.0,0.00031,0.0,76.0,66.0,2474.0,3066.0,0.02499,0.02419,0.02468,0.02419
10,2,0.6327,0.31635,0.5,0.38752,0.6327,0.6327,0.6327,0.0,0.0,5638.0,3273.0,0.0,0.0,3098.0,131.0,0.0,0.0,0.0,0.0,2540.0,3142.0,0.0,0.0,0.0,0.0
10,3,0.64606,0.60519,0.58091,0.57879,0.64606,0.64606,0.64606,1098.0,979.0,4659.0,2175.0,29.0,313.0,2785.0,102.0,0.10592,0.22137,1069.0,666.0,1874.0,2073.0,0.30535,0.34023,0.19944,0.11886
10,4,0.66816,0.65458,0.66394,0.65545,0.66816,0.66816,0.66816,2121.0,1805.0,3833.0,1152.0,61.0,654.0,2444.0,70.0,0.22143,0.46565,2060.0,1151.0,1389.0,1082.0,0.56512,0.65563,0.34369,0.18998
11,0,0.6327,0.31635,0.5,0.38752,0.6327,0.6327,0.6327,0.0,0.0,5638.0,3273.0,0.0,0.0,3098.0,131.0,0.0,0.0,0.0,0.0,2540.0,3142.0,0.0,0.0,0.0,0.0
11,1,0.63495,0.5887,0.51049,0.42482,0.63495,0.63495,0.63495,136.0,116.0,5522.0,3137.0,0.0,5.0,3093.0,131.0,0.00155,0.0,136.0,111.0,2429.0,3006.0,0.04347,0.04328,0.04192,0.04328
11,2,0.6327,0.31635,0.5,0.38752,0.6327,0.6327,0.6327,0.0,0.0,5638.0,3273.0,0.0,0.0,3098.0,131.0,0.0,0.0,0.0,0.0,2540.0,3142.0,0.0,0.0,0.0,0.0
11,3,0.6483,0.60932,0.58839,0.58825,0.6483,0.6483,0.6483,1187.0,1048.0,4590.0,2086.0,29.0,321.0,2777.0,102.0,0.10839,0.22137,1158.0,727.0,1813.0,1984.0,0.33175,0.36856,0.22336,0.14718
11,4,0.66805,0.65422,0.66347,0.65516,0.66805,0.66805,0.66805,2115.0,1800.0,3838.0,1158.0,59.0,653.0,2445.0,72.0,0.2205,0.45038,2056.0,1147.0,1393.0,1086.0,0.56371,0.65436,0.34321,0.20398
12,0,0.6327,0.31635,0.5,0.38752,0.6327,0.6327,0.6327,0.0,0.0,5638.0,3273.0,0.0,0.0,3098.0,131.0,0.0,0.0,0.0,0.0,2540.0,3142.0,0.0,0.0,0.0,0.0
12,1,0.63427,0.58662,0.50778,0.41597,0.63427,0.63427,0.63427,102.0,88.0,5550.0,3171.0,0.0,5.0,3093.0,131.0,0.00155,0.0,102.0,83.0,2457.0,3040.0,0.03256,0.03246,0.03101,0.03246
12,2,0.6327,0.31635,0.5,0.38752,0.6327,0.6327,0.6327,0.0,0.0,5638.0,3273.0,0.0,0.0,3098.0,131.0,0.0,0.0,0.0,0.0,2540.0,3142.0,0.0,0.0,0.0,0.0
12,3,0.6492,0.61313,0.59942,0.60129,0.6492,0.6492,0.6492,1348.0,1201.0,4437.0,1925.0,31.0,346.0,2752.0,100.0,0.11675,0.23664,1317.0,855.0,1685.0,1825.0,0.38226,0.41916,0.26551,0.18252
12,4,0.66749,0.6546,0.66424,0.65524,0.66749,0.66749,0.66749,2134.0,1824.0,3814.0,1139.0,61.0,667.0,2431.0,70.0,0.22546,0.46565,2073.0,1157.0,1383.0,1069.0,0.56846,0.65977,0.34301,0.19412
13,0,0.6327,0.31635,0.5,0.38752,0.6327,0.6327,0.6327,0.0,0.0,5638.0,3273.0,0.0,0.0,3098.0,131.0,0.0,0.0,0.0,0.0,2540.0,3142.0,0.0,0.0,0.0,0.0
13,1,0.63248,0.55624,0.5013,0.394,0.63248,0.63248,0.63248,23.0,25.0,5613.0,3250.0,0.0,1.0,3097.0,131.0,0.00031,0.0,23.0,24.0,2516.0,3119.0,0.00827,0.00732,0.00796,0.00732
13,2,0.6327,0.31635,0.5,0.38752,0.6327,0.6327,0.6327,0.0,0.0,5638.0,3273.0,0.0,0.0,3098.0,131.0,0.0,0.0,0.0,0.0,2540.0,3142.0,0.0,0.0,0.0,0.0
13,3,0.64516,0.61012,0.60039,0.60237,0.64516,0.64516,0.64516,1413.0,1302.0,4336.0,1860.0,32.0,358.0,2740.0,99.0,0.12078,0.24427,1381.0,944.0,1596.0,1761.0,0.40919,0.43953,0.28841,0.19525
13,4,0.66805,0.65179,0.65975,0.65328,0.66805,0.66805,0.66805,2057.0,1742.0,3896.0,1216.0,56.0,628.0,2470.0,75.0,0.21183,0.42748,2001.0,1114.0,1426.0,1141.0,0.54822,0.63686,0.33639,0.20937
14,0,0.6327,0.31635,0.5,0.38752,0.6327,0.6327,0.6327,0.0,0.0,5638.0,3273.0,0.0,0.0,3098.0,131.0,0.0,0.0,0.0,0.0,2540.0,3142.0,0.0,0.0,0.0,0.0
14,1,0.64022,0.60472,0.52472,0.46301,0.64022,0.64022,0.64022,293.0,226.0,5412.0,2980.0,0.0,14.0,3084.0,131.0,0.00434,0.0,293.0,212.0,2328.0,2849.0,0.08888,0.09325,0.08454,0.09325
14,2,0.6327,0.31635,0.5,0.38752,0.6327,0.6327,0.6327,0.0,0.0,5638.0,3273.0,0.0,0.0,3098.0,131.0,0.0,0.0,0.0,0.0,2540.0,3142.0,0.0,0.0,0.0,0.0
14,3,0.64808,0.60702,0.57469,0.56869,0.64808,0.64808,0.64808,976.0,839.0,4799.0,2297.0,19.0,229.0,2869.0,112.0,0.0768,0.14504,957.0,610.0,1930.0,2185.0,0.27578,0.30458,0.19898,0.15954
14,4,0.66704,0.65406,0.66363,0.65471,0.66704,0.66704,0.66704,2130.0,1824.0,3814.0,1143.0,60.0,670.0,2428.0,71.0,0.22608,0.45802,2070.0,1154.0,1386.0,1072.0,0.56741,0.65882,0.34133,0.2008
15,0,0.6327,0.31635,0.5,0.38752,0.6327,0.6327,0.6327,0.0,0.0,5638.0,3273.0,0.0,0.0,3098.0,131.0,0.0,0.0,0.0,0.0,2540.0,3142.0,0.0,0.0,0.0,0.0
