round,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1,tp,fp,tn,fn,group_0_tp,group_0_fp,group_0_tn,group_0_fn,group_0_positive_rate,group_0_true_positive_rate,group_1_tp,group_1_fp,group_1_tn,group_1_fn,group_1_positive_rate,group_1_true_positive_rate,statistical_parity_difference,equal_opportunity_difference
1,0.66334,0.63007,0.61249,0.61506,0.66334,0.66334,0.66334,1722.0,1381.0,5667.0,2369.0,34.0,467.0,3413.0,150.0,0.12328,0.18478,1688.0,914.0,2254.0,2219.0,0.36777,0.43205,0.2445,0.24726
2,0.68803,0.66066,0.64564,0.64962,0.68803,0.68803,0.68803,1988.0,1372.0,5676.0,2103.0,32.0,378.0,3502.0,152.0,0.10089,0.17391,1956.0,994.0,2174.0,1951.0,0.41696,0.50064,0.31608,0.32673
3,0.69378,0.66976,0.66787,0.66875,0.69378,0.69378,0.69378,2333.0,1653.0,5395.0,1758.0,41.0,469.0,3411.0,143.0,0.12549,0.22283,2292.0,1184.0,1984.0,1615.0,0.49131,0.58664,0.36582,0.36381
4,0.69791,0.67252,0.66211,0.66565,0.69791,0.69791,0.69791,2157.0,1431.0,5617.0,1934.0,42.0,401.0,3479.0,142.0,0.10901,0.22826,2115.0,1030.0,2138.0,1792.0,0.44452,0.54134,0.33552,0.31308
5,0.69863,0.67688,0.64104,0.6455,0.69863,0.69863,0.69863,1735.0,1001.0,6047.0,2356.0,28.0,271.0,3609.0,156.0,0.07357,0.15217,1707.0,730.0,2438.0,2200.0,0.34445,0.43691,0.27088,0.28473
6,0.70186,0.67697,0.66313,0.66739,0.70186,0.70186,0.70186,2116.0,1346.0,5702.0,1975.0,41.0,378.0,3502.0,143.0,0.1031,0.22283,2075.0,968.0,2200.0,1832.0,0.43011,0.5311,0.32701,0.30827
7,0.70383,0.67927,0.66582,0.67006,0.70383,0.70383,0.70383,2138.0,1346.0,5702.0,1953.0,41.0,371.0,3509.0,143.0,0.10138,0.22283,2097.0,975.0,2193.0,1810.0,0.4342,0.53673,0.33283,0.3139
8,0.70509,0.68297,0.65409,0.65955,0.70509,0.70509,0.70509,1890.0,1084.0,5964.0,2201.0,33.0,287.0,3593.0,151.0,0.07874,0.17935,1857.0,797.0,2371.0,2050.0,0.37512,0.4753,0.29638,0.29595
9,0.70545,0.68186,0.6773,0.67924,0.70545,0.70545,0.70545,2337.0,1527.0,5521.0,1754.0,39.0,388.0,3492.0,145.0,0.10507,0.21196,2298.0,1139.0,2029.0,1609.0,0.4858,0.58818,0.38073,0.37622
10,0.69441,0.67975,0.68985,0.68164,0.69441,0.69441,0.69441,2752.0,2065.0,4983.0,1339.0,55.0,582.0,3298.0,129.0,0.15674,0.29891,2697.0,1483.0,1685.0,1210.0,0.59081,0.6903,0.43407,0.39139
11,0.71075,0.68735,0.67969,0.68268,0.71075,0.71075,0.71075,2302.0,1433.0,5615.0,1789.0,36.0,343.0,3537.0,148.0,0.09326,0.19565,2266.0,1090.0,2078.0,1641.0,0.47435,0.57998,0.38109,0.38433
12,0.71093,0.68748,0.67414,0.67851,0.71093,0.71093,0.71093,2191.0,1320.0,5728.0,1900.0,34.0,312.0,3568.0,150.0,0.08514,0.18478,2157.0,1008.0,2160.0,1750.0,0.44735,0.55209,0.36221,0.3673
13,0.71119,0.68779,0.67451,0.67887,0.71119,0.71119,0.71119,2194.0,1320.0,5728.0,1897.0,33.0,297.0,3583.0,151.0,0.0812,0.17935,2161.0,1023.0,2145.0,1746.0,0.45004,0.55311,0.36883,0.37376
14,0.71093,0.68985,0.66188,0.66776,0.71093,0.71093,0.71093,1952.0,1081.0,5967.0,2139.0,29.0,212.0,3668.0,155.0,0.0593,0.15761,1923.0,869.0,2299.0,1984.0,0.39463,0.49219,0.33533,0.33458
15,0.71209,0.68919,0.67168,0.67678,0.71209,0.71209,0.71209,2125.0,1241.0,5807.0,1966.0,31.0,282.0,3598.0,153.0,0.07702,0.16848,2094.0,959.0,2209.0,1813.0,0.43152,0.53596,0.3545,0.36748
16,0.70868,0.68688,0.65991,0.6656,0.70868,0.70868,0.70868,1948.0,1102.0,5946.0,2143.0,30.0,256.0,3624.0,154.0,0.07037,0.16304,1918.0,846.0,2322.0,1989.0,0.39067,0.49091,0.3203,0.32787
17,0.70877,0.6894,0.695,0.69154,0.70877,0.70877,0.70877,2631.0,1784.0,5264.0,1460.0,40.0,425.0,3455.0,144.0,0.11442,0.21739,2591.0,1359.0,1809.0,1316.0,0.5583,0.66317,0.44388,0.44578
18,0.71272,0.68948,0.67935,0.68303,0.71272,0.71272,0.71272,2265.0,1374.0,5674.0,1826.0,33.0,304.0,3576.0,151.0,0.08292,0.17935,2232.0,1070.0,2098.0,1675.0,0.46671,0.57128,0.38379,0.39193
19,0.70653,0.68275,0.6763,0.67889,0.70653,0.70653,0.70653,2301.0,1479.0,5569.0,1790.0,36.0,358.0,3522.0,148.0,0.09695,0.19565,2265.0,1121.0,2047.0,1642.0,0.47859,0.57973,0.38164,0.38408
20,0.69845,0.68124,0.68946,0.68356,0.69845,0.69845,0.69845,2682.0,1950.0,5098.0,1409.0,51.0,540.0,3340.0,133.0,0.14542,0.27717,2631.0,1410.0,1758.0,1276.0,0.57117,0.67341,0.42574,0.39623
