round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1,tp,fp,tn,fn,group_0_tp,group_0_fp,group_0_tn,group_0_fn,group_0_positive_rate,group_0_true_positive_rate,group_1_tp,group_1_fp,group_1_tn,group_1_fn,group_1_positive_rate,group_1_true_positive_rate,statistical_parity_difference,equal_opportunity_difference
1,0,0.6327,0.31635,0.5,0.38752,0.6327,0.6327,0.6327,0.0,0.0,5638.0,3273.0,0.0,0.0,3098.0,131.0,0.0,0.0,0.0,0.0,2540.0,3142.0,0.0,0.0,0.0,0.0
1,1,0.63596,0.62981,0.63932,0.62676,0.63596,0.63596,0.63596,2134.0,2105.0,3533.0,1139.0,51.0,793.0,2305.0,80.0,0.26138,0.38931,2083.0,1312.0,1228.0,1059.0,0.5975,0.66295,0.33612,0.27364
2,0,0.6327,0.31635,0.5,0.38752,0.6327,0.6327,0.6327,0.0,0.0,5638.0,3273.0,0.0,0.0,3098.0,131.0,0.0,0.0,0.0,0.0,2540.0,3142.0,0.0,0.0,0.0,0.0
2,1,0.65818,0.65062,0.66143,0.64881,0.65818,0.65818,0.65818,2205.0,1978.0,3660.0,1068.0,49.0,614.0,2484.0,82.0,0.20533,0.37405,2156.0,1364.0,1176.0,986.0,0.6195,0.68619,0.41417,0.31214
3,0,0.6327,0.31635,0.5,0.38752,0.6327,0.6327,0.6327,0.0,0.0,5638.0,3273.0,0.0,0.0,3098.0,131.0,0.0,0.0,0.0,0.0,2540.0,3142.0,0.0,0.0,0.0,0.0
3,1,0.6575,0.66627,0.6782,0.6539,0.6575,0.6575,0.6575,2475.0,2254.0,3384.0,798.0,55.0,674.0,2424.0,76.0,0.22577,0.41985,2420.0,1580.0,960.0,722.0,0.70398,0.77021,0.47821,0.35036
4,0,0.6327,0.31635,0.5,0.38752,0.6327,0.6327,0.6327,0.0,0.0,5638.0,3273.0,0.0,0.0,3098.0,131.0,0.0,0.0,0.0,0.0,2540.0,3142.0,0.0,0.0,0.0,0.0
4,1,0.66513,0.6738,0.68628,0.66158,0.66513,0.66513,0.66513,2507.0,2218.0,3420.0,766.0,54.0,650.0,2448.0,77.0,0.21802,0.41221,2453.0,1568.0,972.0,689.0,0.70767,0.78071,0.48965,0.3685
5,0,0.6327,0.31635,0.5,0.38752,0.6327,0.6327,0.6327,0.0,0.0,5638.0,3273.0,0.0,0.0,3098.0,131.0,0.0,0.0,0.0,0.0,2540.0,3142.0,0.0,0.0,0.0,0.0
5,1,0.69409,0.67705,0.68532,0.67927,0.69409,0.69409,0.69409,2135.0,1588.0,4050.0,1138.0,43.0,412.0,2686.0,88.0,0.14091,0.32824,2092.0,1176.0,1364.0,1050.0,0.57515,0.66582,0.43424,0.33757
6,0,0.6327,0.31635,0.5,0.38752,0.6327,0.6327,0.6327,0.0,0.0,5638.0,3273.0,0.0,0.0,3098.0,131.0,0.0,0.0,0.0,0.0,2540.0,3142.0,0.0,0.0,0.0,0.0
6,1,0.67501,0.67863,0.69203,0.6703,0.67501,0.67501,0.67501,2475.0,2098.0,3540.0,798.0,57.0,598.0,2500.0,74.0,0.20285,0.43511,2418.0,1500.0,1040.0,724.0,0.68955,0.76957,0.4867,0.33446
7,0,0.6327,0.31635,0.5,0.38752,0.6327,0.6327,0.6327,0.0,0.0,5638.0,3273.0,0.0,0.0,3098.0,131.0,0.0,0.0,0.0,0.0,2540.0,3142.0,0.0,0.0,0.0,0.0
7,1,0.68062,0.68273,0.69653,0.67556,0.68062,0.68062,0.68062,2476.0,2049.0,3589.0,797.0,56.0,573.0,2525.0,75.0,0.1948,0.42748,2420.0,1476.0,1064.0,722.0,0.68567,0.77021,0.49088,0.34273
8,0,0.6327,0.31635,0.5,0.38752,0.6327,0.6327,0.6327,0.0,0.0,5638.0,3273.0,0.0,0.0,3098.0,131.0,0.0,0.0,0.0,0.0,2540.0,3142.0,0.0,0.0,0.0,0.0
8,1,0.69734,0.68238,0.69238,0.68441,0.69734,0.69734,0.69734,2205.0,1629.0,4009.0,1068.0,43.0,405.0,2693.0,88.0,0.13874,0.32824,2162.0,1224.0,1316.0,980.0,0.59592,0.6881,0.45717,0.35985
9,0,0.6327,0.31635,0.5,0.38752,0.6327,0.6327,0.6327,0.0,0.0,5638.0,3273.0,0.0,0.0,3098.0,131.0,0.0,0.0,0.0,0.0,2540.0,3142.0,0.0,0.0,0.0,0.0
9,1,0.66064,0.68893,0.69728,0.65989,0.66064,0.66064,0.66064,2734.0,2485.0,3153.0,539.0,66.0,708.0,2390.0,65.0,0.2397,0.50382,2668.0,1777.0,763.0,474.0,0.78229,0.84914,0.54259,0.34532
10,0,0.6327,0.31635,0.5,0.38752,0.6327,0.6327,0.6327,0.0,0.0,5638.0,3273.0,0.0,0.0,3098.0,131.0,0.0,0.0,0.0,0.0,2540.0,3142.0,0.0,0.0,0.0,0.0
10,1,0.62933,0.68419,0.68106,0.62926,0.62933,0.62933,0.62933,2867.0,2897.0,2741.0,406.0,76.0,963.0,2135.0,55.0,0.32177,0.58015,2791.0,1934.0,606.0,351.0,0.83157,0.88829,0.5098,0.30814
11,0,0.6327,0.31635,0.5,0.38752,0.6327,0.6327,0.6327,0.0,0.0,5638.0,3273.0,0.0,0.0,3098.0,131.0,0.0,0.0,0.0,0.0,2540.0,3142.0,0.0,0.0,0.0,0.0
11,1,0.67838,0.69114,0.70412,0.67576,0.67838,0.67838,0.67838,2622.0,2215.0,3423.0,651.0,57.0,589.0,2509.0,74.0,0.20006,0.43511,2565.0,1626.0,914.0,577.0,0.73759,0.81636,0.53753,0.38124
12,0,0.6327,0.31635,0.5,0.38752,0.6327,0.6327,0.6327,0.0,0.0,5638.0,3273.0,0.0,0.0,3098.0,131.0,0.0,0.0,0.0,0.0,2540.0,3142.0,0.0,0.0,0.0,0.0
12,1,0.6786,0.68773,0.70115,0.67528,0.6786,0.6786,0.6786,2573.0,2164.0,3474.0,700.0,53.0,591.0,2507.0,78.0,0.19944,0.40458,2520.0,1573.0,967.0,622.0,0.72034,0.80204,0.5209,0.39746
13,0,0.6327,0.31635,0.5,0.38752,0.6327,0.6327,0.6327,0.0,0.0,5638.0,3273.0,0.0,0.0,3098.0,131.0,0.0,0.0,0.0,0.0,2540.0,3142.0,0.0,0.0,0.0,0.0
13,1,0.69902,0.69293,0.70704,0.69137,0.69902,0.69902,0.69902,2413.0,1822.0,3816.0,860.0,41.0,419.0,2679.0,90.0,0.14246,0.31298,2372.0,1403.0,1137.0,770.0,0.66438,0.75493,0.52192,0.44196
14,0,0.6327,0.31635,0.5,0.38752,0.6327,0.6327,0.6327,0.0,0.0,5638.0,3273.0,0.0,0.0,3098.0,131.0,0.0,0.0,0.0,0.0,2540.0,3142.0,0.0,0.0,0.0,0.0
14,1,0.70688,0.69542,0.70806,0.69667,0.70688,0.70688,0.70688,2332.0,1671.0,3967.0,941.0,42.0,357.0,2741.0,89.0,0.12357,0.32061,2290.0,1314.0,1226.0,852.0,0.63428,0.72884,0.51072,0.40822
15,0,0.6327,0.31635,0.5,0.38752,0.6327,0.6327,0.6327,0.0,0.0,5638.0,3273.0,0.0,0.0,3098.0,131.0,0.0,0.0,0.0,0.0,2540.0,3142.0,0.0,0.0,0.0,0.0
15,1,0.68466,0.69153,0.70556,0.6809,0.68466,0.68466,0.68466,2567.0,2104.0,3534.0,706.0,52.0,507.0,2591.0,79.0,0.17312,0.39695,2515.0,1597.0,943.0,627.0,0.72369,0.80045,0.55057,0.4035
16,0,0.6327,0.31635,0.5,0.38752,0.6327,0.6327,0.6327,0.0,0.0,5638.0,3273.0,0.0,0.0,3098.0,131.0,0.0,0.0,0.0,0.0,2540.0,3142.0,0.0,0.0,0.0,0.0
16,1,0.69375,0.69044,0.70473,0.68711,0.69375,0.69375,0.69375,2442.0,1898.0,3740.0,831.0,46.0,450.0,2648.0,85.0,0.15361,0.35115,2396.0,1448.0,1092.0,746.0,0.67652,0.76257,0.52291,0.41143
17,0,0.6327,0.31635,0.5,0.38752,0.6327,0.6327,0.6327,0.0,0.0,5638.0,3273.0,0.0,0.0,3098.0,131.0,0.0,0.0,0.0,0.0,2540.0,3142.0,0.0,0.0,0.0,0.0
17,1,0.64314,0.69481,0.69351,0.64313,0.64314,0.64314,0.64314,2891.0,2798.0,2840.0,382.0,69.0,817.0,2281.0,62.0,0.27439,0.52672,2822.0,1981.0,559.0,320.0,0.8453,0.89815,0.57091,0.37144
18,0,0.6327,0.31635,0.5,0.38752,0.6327,0.6327,0.6327,0.0,0.0,5638.0,3273.0,0.0,0.0,3098.0,131.0,0.0,0.0,0.0,0.0,2540.0,3142.0,0.0,0.0,0.0,0.0
18,1,0.68298,0.69316,0.70679,0.67991,0.68298,0.68298,0.68298,2607.0,2159.0,3479.0,666.0,52.0,534.0,2564.0,79.0,0.18148,0.39695,2555.0,1625.0,915.0,587.0,0.73566,0.81318,0.55418,0.41623
19,0,0.6327,0.31635,0.5,0.38752,0.6327,0.6327,0.6327,0.0,0.0,5638.0,3273.0,0.0,0.0,3098.0,131.0,0.0,0.0,0.0,0.0,2540.0,3142.0,0.0,0.0,0.0,0.0
19,1,0.66222,0.68741,0.69673,0.66119,0.66222,0.66222,0.66222,2706.0,2443.0,3195.0,567.0,59.0,668.0,2430.0,72.0,0.22515,0.45038,2647.0,1775.0,765.0,495.0,0.77825,0.84246,0.5531,0.39208
20,0,0.6327,0.31635,0.5,0.38752,0.6327,0.6327,0.6327,0.0,0.0,5638.0,3273.0,0.0,0.0,3098.0,131.0,0.0,0.0,0.0,0.0,2540.0,3142.0,0.0,0.0,0.0,0.0
20,1,0.62855,0.68591,0.68159,0.62842,0.62855,0.62855,0.62855,2885.0,2922.0,2716.0,388.0,76.0,973.0,2125.0,55.0,0.32487,0.58015,2809.0,1949.0,591.0,333.0,0.83738,0.89402,0.51251,0.31386
