model,regime,batch_size,epochs,client_fraction,round,f1,run_time_seconds
LogReg,IID,16,5,100,50,0.7633,244.6106787000008
LogReg,Non-IID,16,5,100,50,0.69415,194.8486327999999
LogReg,IID,16,10,100,50,0.76315,425.8953056999999
LogReg,Non-IID,16,10,100,50,0.69335,410.62095449999833
LogReg,IID,16,15,100,50,0.76301,488.7667818000009
LogReg,Non-IID,16,15,100,50,0.69385,624.547423
LogReg,IID,32,5,100,50,0.7637,167.22955490000095
LogReg,Non-IID,32,5,100,50,0.70289,143.83746130000145
LogReg,IID,32,10,100,50,0.7633,212.10316789999888
LogReg,Non-IID,32,10,100,50,0.69439,214.91735970000082
LogReg,IID,32,15,100,50,0.7635,277.9300641000009
LogReg,Non-IID,32,15,100,50,0.69496,286.11835119999887
LogReg,IID,64,5,100,50,0.76183,84.46581460000016
LogReg,Non-IID,64,5,100,50,0.71247,93.08580490000168
LogReg,IID,64,10,100,50,0.7637,127.55378109999947
LogReg,Non-IID,64,10,100,50,0.70052,153.61706440000125
LogReg,IID,64,15,25,50,0.76271,24.242067000013776
LogReg,Non-IID,64,15,25,50,0.72764,39.83681910000087
LogReg,IID,64,15,50,50,0.76429,83.73753209999995
LogReg,Non-IID,64,15,50,50,0.66566,109.65701070000068
LogReg,IID,64,15,100,50,0.76281,186.46194749999995
LogReg,Non-IID,64,15,100,50,0.69761,194.8909203999974
MLP,IID,16,5,100,50,0.77082,204.7957684000139
MLP,Non-IID,16,5,100,50,0.73193,364.1592294000002
MLP,IID,16,10,100,50,0.76967,400.3317784999963
MLP,Non-IID,16,10,100,50,0.73394,654.6841300999986
MLP,IID,16,15,100,50,0.76687,561.8461460000253
MLP,Non-IID,16,15,100,50,0.72876,910.5078440999969
MLP,IID,32,5,100,50,0.76991,121.82656640000641
MLP,Non-IID,32,5,100,50,0.72243,176.5475308999994
MLP,IID,32,10,100,50,0.7717,210.54769450001186
MLP,Non-IID,32,10,100,50,0.72685,346.3574274999992
MLP,IID,32,15,100,50,0.76595,311.8157609999762
MLP,Non-IID,32,15,100,50,0.72842,469.6147646999998
MLP,IID,64,5,100,50,0.76947,76.36111240001628
MLP,Non-IID,64,5,100,50,0.71833,120.87687580000056
MLP,IID,64,10,100,50,0.76871,200.8178970000008
MLP,Non-IID,64,10,100,50,0.72485,206.42797530000098
MLP,IID,64,15,25,50,0.76826,36.19698030001018
MLP,Non-IID,64,15,25,50,0.74328,60.475797899998724
MLP,IID,64,15,50,50,0.77077,85.94366869999794
MLP,Non-IID,64,15,50,50,0.69856,164.04213140000138
MLP,IID,64,15,100,50,0.77143,231.67726550000953
MLP,Non-IID,64,15,100,50,0.72583,275.8266162
